,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
19,07-03-2020 22:36:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.0853,57998,21587,1924,859,,,,,,,,,,VHQ BEST Cocaine 5g.
20,07-03-2020 22:36:24,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0065,4389,1633,146,65,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
21,07-03-2020 22:36:24,Tbilisi,0WE,Khachapuri,🍃 5гр ГАШИШ 🍃,True,2,нет,Тбилиси,5 гр,0.0304,19580,7288,649,290,,,,,,,,,,🍃 5gr GAShISh 🍃
22,07-03-2020 22:36:24,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 8 штук +1 бонус ;),True,2,нет,Тбилиси,9 гр,0.0099,6752,2513,224,100,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 8 shtuk +1 bonus ;)
23,07-03-2020 22:36:24,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0399,24644,9172,817,365,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
24,07-03-2020 22:36:24,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0419,27007,10052,896,400,,,,,,,,,,gashish evro 10g
25,07-03-2020 22:36:24,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0814,52461,19526,1740,777,,,,,,,,,,Gashish Evro 20gr
26,07-03-2020 22:36:24,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0717,43886,16335,1456,650,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
27,07-03-2020 22:36:24,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Место на ваш выбор!!!),True,нет,1,Тбилиси,3 гр,0.0573,35447,13193,1176,525,,,,,,,,,,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Mesto na vash vybor!!!)
28,07-03-2020 22:36:24,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0651,39835,14827,1321,590,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
