,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Saburtalo,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,17-04-2020 09:24:06,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,17,нет,Тбилиси,0.5 гр,0.0187,10086,3699,332,135.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,17-04-2020 09:24:06,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0185,10086,3699,332,135.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,17-04-2020 09:24:06,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,7,нет,Тбилиси,1 гр,0.0075,4109,1507,135,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
3,3,17-04-2020 09:24:06,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0078,4259,1562,140,57.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,17-04-2020 09:24:06,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,1 гр,0.0078,4259,1562,140,57.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
5,5,17-04-2020 09:24:06,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,2,нет,Тбилиси,1 гр,0.0075,4109,1507,135,55.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
6,6,17-04-2020 09:24:06,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,9,нет,Тбилиси,1 гр,0.0028,1544,567,51,,True,19.0,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
7,7,17-04-2020 09:24:06,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1122,67241,24660,2213,900.0,,,,,,,,,,,Metadon 1gr
8,8,17-04-2020 09:24:06,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,2,нет,Тбилиси,1 гр,0.0025,1494,548,49,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
9,9,17-04-2020 09:24:06,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0109,5902,2165,194,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
10,10,17-04-2020 09:24:06,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,10,нет,Тбилиси,2 гр,0.0064,3511,1288,116,47.0,,,,,,,,,,,2gr Indica dominant Buds
11,11,17-04-2020 09:24:06,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,8,нет,Тбилиси,2 гр,0.0117,6351,2329,209,85.0,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
12,12,17-04-2020 09:24:06,Tbilisi,4659482266,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0165,8891,3261,293,119.0,True,,,True,,,,,,,3g superskunk top class buds. Indica
13,13,17-04-2020 09:24:07,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0145,7845,2877,258,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
14,14,17-04-2020 09:24:07,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,2,нет,Тбилиси,3 гр,0.0137,7471,2740,246,100.0,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
15,15,17-04-2020 09:24:07,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0089,4877,1792,160,,,60.0,,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
16,16,17-04-2020 09:24:07,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0276,14868,5453,489,199.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
17,17,17-04-2020 09:24:07,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0421,23908,8768,787,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
