,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Тбилиси,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,05-06-2020 14:04:12,Tbilisi,4c4ab8c0de,✨✨🍃🍃🍃✨✨1.1gr SUPER CRITICAL | BUDS ONLY | FOR PRO SMOKERS ! SALE BTC 10%✨✨🍃🍃🍃✨✨,True,3,нет,Тбилиси,1.1 гр,0.006,4072,1581,141,59.0,,,,,,,,,,,✨✨🍃🍃🍃✨✨1.1gr SUPER CRITICAL | BUDS ONLY | FOR PRO SMOKERS ! SALE BTC 10%✨✨🍃🍃🍃✨✨
1,1,05-06-2020 14:04:12,Tbilisi,be97026d1d,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.062,43224,16994,1502,,True,559.0,,,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,2,05-06-2020 14:04:12,Tbilisi,0dec0e1c48,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0089,6073,2358,211,88.0,,,True,,,,,,,,2gr HYBRID buds
3,3,05-06-2020 14:04:12,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,10,нет,Тбилиси,3 гр,0.0122,8213,3189,285,119.0,,,True,,,,,,,,3 ECSTASY << PACO RABANNE >>
4,4,05-06-2020 14:04:12,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,2,нет,Тбилиси,3 гр,0.0088,6004,2332,209,87.0,,,True,,,,,,,,3 gr georgian weed. Package on magnet
5,5,05-06-2020 14:04:12,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,5,нет,Тбилиси,3 гр,0.0107,7247,2814,252,105.0,,,True,,,,,,,,3x Extasy Duracell 223mg MDMA
6,6,05-06-2020 14:04:12,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.004,2692,1045,94,39.0,,,,True,,,,,,,Marijuana Super Skunk leaves 3g plan
7,7,05-06-2020 14:04:12,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0053,3796,1474,132,55.0,,,True,,,,,,,,Suboxene 4mg
8,8,05-06-2020 14:04:12,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.03,20705,8040,719,300.0,,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
9,9,05-06-2020 14:04:12,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,5,нет,Тбилиси,5 гр,0.0141,9593,3725,333,139.0,,,True,,,,,,,,5 gr georgian weed. Package on magnet
