,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,19-05-2020 10:35:35,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,15,нет,Тбилиси,0.3 гр,0.0099,3221,234,7000,,,,,,,,,,0.3 a-pvp white
1,1,19-05-2020 10:35:35,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,18,нет,Тбилиси,0.5 гр,0.0166,4253,387,11604,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,19-05-2020 10:35:35,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0057,1471,134,4014,55.0,True,,,,,,,,HQ Euro Hashish 0.5 g
3,3,19-05-2020 10:35:35,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0135,3478,317,9487,130.0,True,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,19-05-2020 10:35:35,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0311,7998,729,21821,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,5,19-05-2020 10:35:35,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0242,6286,573,17150,235.0,,,,,,,,,Cocaine Pure VHQ 1g
6,6,19-05-2020 10:35:35,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0245,6420,585,17515,240.0,,,,,,,,,VHQ BEST Cocaine 1g.
7,7,19-05-2020 10:35:35,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0844,24075,2193,65682,900.0,,,,,,,,,Metadon 1gr
8,8,19-05-2020 10:35:35,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0114,2916,266,7955,109.0,True,,,,,,,,✨ 1g. MDMA ✨
9,9,19-05-2020 10:35:35,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0093,2381,217,6495,89.0,,,,,,,,,2 ECSTASY << PACO RABANNE >>
10,10,19-05-2020 10:35:35,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0073,1873,171,5109,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
11,11,19-05-2020 10:35:35,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.049,12840,1170,35030,480.0,,,,,,,,,VHQ BEST Cocaine 2g.
12,12,19-05-2020 10:35:35,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.0091,2354,214,6422,88.0,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
13,13,19-05-2020 10:35:35,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0124,3183,290,8685,119.0,,,,,,,,,3 ECSTASY << PACO RABANNE >>
14,14,19-05-2020 10:35:35,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0124,3183,290,8685,119.0,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
15,15,19-05-2020 10:35:35,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0109,2809,256,7663,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
16,16,19-05-2020 10:35:35,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0182,4681,426,12771,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,17,19-05-2020 10:35:35,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1186,30763,2802,83927,1150.0,,,,,,,,,Cocaine Pure VHQ 5g.
18,18,19-05-2020 10:35:35,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.115,30763,2802,83927,1150.0,,,,,,,,,VHQ BEST Cocaine 5g.
19,19,19-05-2020 10:35:35,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1875,53500,4873,145960,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
