,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,08-07-2020 19:14:58,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0113,7960,3039,273,99,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,08-07-2020 19:14:58,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0105,7237,2763,248,90,True,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,08-07-2020 19:14:58,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,11,нет,Тбилиси,0.5 гр,0.0034,2351,898,81,,True,33,,,,,,,,,0.5 gr HYBRID buds
3,08-07-2020 19:14:58,Tbilisi,9Y6T,WeedShop,0.5г Ak - 47,,15,нет,Тбилиси,0.5 гр,0.0033,2280,870,78,,True,32,,,,,,,,,0.5g Ak - 47
4,08-07-2020 19:14:58,Tbilisi,9Y6T,WeedShop,0.5г Jamaican,,1,нет,Тбилиси,0.5 гр,0.0032,2208,843,76,,True,31,,,,,,,,,0.5g Jamaican
5,08-07-2020 19:14:58,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0062,4274,1632,147,,,60,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,08-07-2020 19:14:58,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0061,4203,1605,144,,,59,True,,,,,,,,1 G Hybrid Marijuana Buds
7,08-07-2020 19:14:58,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,7,нет,Тбилиси,1 гр,0.0051,3491,1333,120,,True,49,,,,,,,,,1gr HYBRID o.g
8,08-07-2020 19:14:58,Tbilisi,QVK5,Galiak,The Best Weed In Your Life 1G 100%шишки! LIMITED,True,1,нет,Тбилиси,1 гр,0.0067,4630,1768,159,,,65,,,,,,,,,The Best Weed In Your Life 1G 100%shishki! LIMITED
9,08-07-2020 19:14:58,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,3,нет,Тбилиси,1 гр,0.0052,3562,1360,122,,,50,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
10,08-07-2020 19:14:58,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 1 шт.,,1,нет,Тбилиси,1 гр,0.0019,1282,490,44,,,18,True,,,,,,,,Marki n-boooom!!! 1 sht.
11,08-07-2020 19:14:58,Tbilisi,7U9YP,ChitosPizz,Сирец Иран 1гр,,3,нет,Тбилиси,1 гр,0.0202,15316,5848,525,,True,215,,,,,,,,,Sirets Iran 1gr
