,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Varketili,Saburtalo,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
41,41,17-04-2020 19:08:45,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1149,103,42.0,,,,True,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
42,42,17-04-2020 19:08:45,Tbilisi,2f51af8159,25i-nbome 1 piece 2.5mg SALE SALE,,нет,6,Тбилиси,1 гр,0.0019,1035,383,34,14.0,,,,True,,,,,,,,25i-nbome 1 piece 2.5mg SALE SALE
43,43,17-04-2020 19:08:45,Tbilisi,2f51af8159,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0053,2884,1067,96,39.0,,,,True,,,,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
44,44,17-04-2020 19:08:45,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0505,27285,10092,907,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
45,45,17-04-2020 19:08:45,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0807,43627,16137,1451,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,46,17-04-2020 19:08:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0542,29578,10940,983,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
47,47,17-04-2020 19:08:45,Tbilisi,54915c4374,Спецпредложение джокера марки н бооооом!!!!!! 4 штуки!,True,нет,42,Тбилиси,4 гр,0.0088,4807,1786,160,,,60.0,,,,,,,,,,Spetspredlozhenie dzhokera marki n booooom!!!!!! 4 shtuki!
48,48,17-04-2020 19:08:45,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0217,11831,4376,393,160.0,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
49,49,17-04-2020 19:08:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0745,40669,15043,1352,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
50,50,17-04-2020 19:08:45,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.023,12571,4650,418,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
51,51,17-04-2020 19:08:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.027000000000000003,14715,5443,489,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
