,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,07-03-2020 01:02:58,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,22,нет,Тбилиси,0.35 гр,0.0075,4726,1759,157,70,,,,,,,,,,,0.35gr ALFA PVP GREEN
1,07-03-2020 01:02:58,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,4,нет,Тбилиси,0.5 гр,0.0106,6684,2488,221,99,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
2,07-03-2020 01:02:58,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,2,нет,Тбилиси,1 гр,0.0053,3376,1257,112,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
3,07-03-2020 01:02:58,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,21,нет,Тбилиси,1 гр,0.004,2633,980,87,39,True,,,,,,,,,,1G -- FOTO RABOTAET -> Sativa
4,07-03-2020 01:02:58,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,8,нет,Тбилиси,1 гр,0.0173,12153,4523,402,180,,,,,,,,,,,Cocaine Pure VHQ 1g
5,07-03-2020 01:02:58,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,1,нет,Тбилиси,1 гр,0.0196,12491,4649,414,185,,True,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
6,07-03-2020 01:02:58,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,23,нет,Тбилиси,1 гр,0.0135,9452,3518,313,140,,,,,,,,,,,NZT-52 mind storm limited 1g muka
7,07-03-2020 01:02:58,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0188,12491,4649,414,185,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
8,07-03-2020 01:02:58,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0189,12086,4498,400,179,,,True,,,,,,,,Kokain KOLUMBIA 1g
9,07-03-2020 01:02:58,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0866,60766,22617,2012,900,,,,,,,,,,,Metadon 1gr
10,07-03-2020 01:02:58,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0192,12153,4523,402,180,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
11,07-03-2020 01:02:58,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,2,нет,Тбилиси,2 гр,0.0095,6077,2262,201,90,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
12,07-03-2020 01:02:58,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0205,13652,5130,448,,,,,180,,,,,,,2 gr mdma (skidka v bitkoin 5%)
13,07-03-2020 01:02:58,Tbilisi,OX85,amnesia420,2g AMNESIA HAZE Sativa THC 20% / BTC -10% sale,True,2,нет,Тбилиси,2 гр,0.0072,5064,1885,168,75,,,,,,,,,,,2g AMNESIA HAZE Sativa THC 20% / BTC -10% sale
14,07-03-2020 01:02:58,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,3,нет,Тбилиси,2 гр,0.0034,2363,880,78,35,,,True,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
15,07-03-2020 01:02:58,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,8,нет,Тбилиси,3 гр,0.0112,7089,2639,235,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
16,07-03-2020 01:02:58,Tbilisi,0WE,Khachapuri,🍃 3гр ГАШИШ 🍃,True,2,нет,Тбилиси,3 гр,0.0193,12828,4775,425,190,,,,,,,,,,,🍃 3gr GAShISh 🍃
17,07-03-2020 01:02:58,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,4,нет,Тбилиси,4 гр,0.0058,4051,1508,134,60,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
18,07-03-2020 01:02:58,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.017,10735,3996,355,159,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
19,07-03-2020 01:02:58,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0166,10465,3895,347,155,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
20,07-03-2020 01:02:58,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0308,21606,8042,715,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,07-03-2020 01:02:58,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0445,29579,11115,971,,,,,390,,,,,,,5 gr mdma (skidka v bitkoin 5%)
22,07-03-2020 01:02:58,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0909,57390,21361,1900,850,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
23,07-03-2020 01:02:58,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0187,11816,4398,391,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
24,07-03-2020 01:02:58,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0164,11478,4272,380,170,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
25,07-03-2020 01:02:58,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.017,10735,3996,355,159,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
