,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-02-2020 15:12:16,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,7,нет,Тбилиси,0.15 гр,0.0114,8279,3186,286,130,,,,,,,,,,,Metadon 0.15gr
1,19-02-2020 15:12:16,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0158,11464,4412,397,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,19-02-2020 15:12:16,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0203,13374,5147,463,210,True,,,,,,,,,,"methadone 0,29 gr"
3,19-02-2020 15:12:16,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0158,12101,4657,419,190,,,,,,,,,,,Metadon 0.30gr
4,19-02-2020 15:12:16,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,3,нет,Тбилиси,0.35 гр,0.0174,11464,4412,397,180,,,,,,,,,,,Methadone HQ in city 0.35g
5,19-02-2020 15:12:16,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,9,нет,Тбилиси,0.5 гр,0.0068,4394,1691,152,69,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
6,19-02-2020 15:12:16,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0107,6942,2672,240,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
7,19-02-2020 15:12:16,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,7,нет,Тбилиси,0.5 гр,0.0028,1847,711,64,29,,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
8,19-02-2020 15:12:16,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0059,3821,1471,132,60,,,,,,,,,,,Ketamine 0.5g
9,19-02-2020 15:12:16,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0255,18469,7108,639,290,,,,,,,,,,,Metadon VHQ 0.5 24/7
10,19-02-2020 15:12:16,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0097,6305,2426,218,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,19-02-2020 15:12:16,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,10,нет,Тбилиси,0.5 гр,0.0026,1720,662,59,27,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
12,19-02-2020 15:12:16,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0097,6305,2426,218,99,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
13,19-02-2020 15:12:16,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0264,19106,7353,661,300,,,,,,,,,,,Metadon 0.6gr
14,19-02-2020 15:12:16,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,17,нет,Тбилиси,1 гр,0.004,2866,1103,99,45,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,19-02-2020 15:12:16,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0116,7642,2941,264,120,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
16,19-02-2020 15:12:16,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,3,нет,Тбилиси,1 гр,0.0087,5732,2206,198,90,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
17,19-02-2020 15:12:16,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,10,нет,Тбилиси,1 гр,0.0044,2866,1103,99,45,,True,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
18,19-02-2020 15:12:16,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,7,нет,Тбилиси,1 гр,0.0082,5413,2083,187,85,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
19,19-02-2020 15:12:16,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,21,нет,Тбилиси,1 гр,0.0035,2356,907,82,37,True,,,,,,,,,,1G -- AK-47 -> Sativa
