,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Varketili,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,01-05-2020 10:23:11,Tbilisi,OX85,amnesia420,"0,5g NORTHERN LIGHTS (Indica)",True,2,нет,Тбилиси,0.5 гр,0.0031,2036,762,68,28,,,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
1,01-05-2020 10:23:11,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,2,нет,Тбилиси,0.5 гр,0.0029,2109,789,70,29,True,True,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
2,01-05-2020 10:23:11,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,18,нет,Тбилиси,0.5 гр,0.0032,2109,789,70,29,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
3,01-05-2020 10:23:11,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,1 гр,0.006,4000,1496,133,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
4,01-05-2020 10:23:11,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
5,01-05-2020 10:23:11,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
6,01-05-2020 10:23:11,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,7,нет,Тбилиси,1 гр,0.0041,2982,1115,99,41,,,,,,,,,,,,Hybrid Ana-sha 1G.
7,01-05-2020 10:23:11,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0894,65454,24480,2173,900,,,,,,,,,,,,Metadon 1gr
8,01-05-2020 10:23:11,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0109,7273,2720,241,100,,,,,,,,,,,,2 G Hybrid Marijuana Buds
9,01-05-2020 10:23:11,Tbilisi,U26MW,Skyhigh,Weed Hybrid Somango 2 G,,1,нет,Тбилиси,2 гр,0.0077,5091,1904,169,70,,,True,,,,,,,,,Weed Hybrid Somango 2 G
10,01-05-2020 10:23:11,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0093,6182,2312,205,85,,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,01-05-2020 10:23:11,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,3,нет,Тбилиси,3 гр,0.0142,9454,3536,314,130,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
12,01-05-2020 10:23:11,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0116,7636,2856,254,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,01-05-2020 10:23:11,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,7,нет,Тбилиси,3 гр,0.0109,7273,2720,241,100,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
14,01-05-2020 10:23:11,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0336,23272,8704,773,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
15,01-05-2020 10:23:11,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0193,12727,4760,423,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
16,01-05-2020 10:23:11,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,15,нет,Тбилиси,10 гр,0.0228,15200,5685,505,209,,,True,True,,,,,,,,10 gr marijuana buds. -indica-
17,01-05-2020 10:23:11,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0328,21818,8160,724,300,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
18,01-05-2020 10:23:11,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.042,29091,10880,966,400,,,,,,,,,,,,gashish evro 10g
19,01-05-2020 10:23:11,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,4,нет,Тбилиси,20 гр,0.0443,29454,11016,978,405,,,True,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
20,01-05-2020 10:23:11,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0815,56508,21134,1876,777,,,,,,,,,,,,Gashish Evro 20gr
21,01-05-2020 10:23:11,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1987,145453,54400,4829,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
