,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-03-2020 22:27:38,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0156,6671,2498,211,90.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,16-03-2020 22:27:38,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,10,10,Тбилиси,0.27 гр,0.0398,16827,6299,531,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
2,2,16-03-2020 22:27:38,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,6,нет,Тбилиси,0.5 гр,0.0191,8080,3025,255,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
3,3,16-03-2020 22:27:38,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr,,10,нет,Тбилиси,0.5 гр,0.0172,8080,3025,255,109.0,True,,,,,,,,,,COCAINE VHQ!!! 0.5gr
4,4,16-03-2020 22:27:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0165,7339,2747,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,5,16-03-2020 22:27:38,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),,22,нет,Тбилиси,0.5 гр,0.013999999999999999,6597,2470,208,89.0,True,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
6,6,16-03-2020 22:27:38,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0181,8080,3025,255,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,16-03-2020 22:27:38,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0087,3706,1388,117,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,16-03-2020 22:27:38,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,3,нет,Тбилиси,1 гр,0.0066,2891,1082,91,39.0,,,,,,,,,,,1G ---> ONLY BUDS
9,9,16-03-2020 22:27:38,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,6,нет,Тбилиси,1 гр,0.0139,5930,2220,187,80.0,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,16-03-2020 22:27:38,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,7,нет,Тбилиси,1 гр,0.008,3410,1277,108,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
11,11,16-03-2020 22:27:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0298,13269,4967,419,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
