,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-04-2020 16:04:25,Tbilisi,54915c4374,MDMA 0.4 грам.,True,1,нет,Тбилиси,0.4 гр,0.0079,4849,1788,166,65.0,,,,,,,,,MDMA 0.4 gram.
1,1,09-04-2020 16:04:25,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,4,нет,Тбилиси,0.5 гр,0.0144,8000,3681,269,,,,,,,,,,0.5 a-pvp white
2,2,09-04-2020 16:04:25,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -10% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0227,13877,5115,475,186.0,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -10% pri oplate btk!!!
3,3,09-04-2020 16:04:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0141,8132,2998,278,109.0,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,09-04-2020 16:04:25,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,4,нет,Тбилиси,0.5 гр,0.0101,5595,2063,191,75.0,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
5,5,09-04-2020 16:04:25,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,1,нет,Тбилиси,0.5 гр,0.0074,4103,1513,140,55.0,,,,,,,,,MEPHEDRONE 0.5 gr
6,6,09-04-2020 16:04:25,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0168,9699,3575,332,130.0,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,09-04-2020 16:04:25,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,4,нет,Тбилиси,0.5 гр,0.0148,8132,2998,278,109.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
8,8,09-04-2020 16:04:25,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.011000000000000001,6714,2475,230,90.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
9,9,09-04-2020 16:04:25,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,10,нет,Тбилиси,1 гр,0.0073,4476,1650,153,60.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
10,10,09-04-2020 16:04:25,Tbilisi,f25c0d6c5c,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.0252,14000,6442,471,,,,,,,,,,1 a-pvp white
11,11,09-04-2020 16:04:25,Tbilisi,2f51af8159,Bubble Hash 1g Sale Btc 4%,,2,нет,Тбилиси,1 гр,0.0111,6341,2338,217,85.0,True,,,,,,,,Bubble Hash 1g Sale Btc 4%
12,12,09-04-2020 16:04:25,Tbilisi,2f51af8159,Georgian Ganja Buds 1 G Medium Quality,,1,нет,Тбилиси,1 гр,0.0044,2462,908,84,33.0,True,,,,,,,,Georgian Ganja Buds 1 G Medium Quality
13,13,09-04-2020 16:04:25,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,4,нет,Тбилиси,1 гр,0.0806,44763,16500,1531,600.0,True,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
14,14,09-04-2020 16:04:25,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,2,нет,Тбилиси,1 гр,0.094,52224,19250,1786,700.0,True,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
15,15,09-04-2020 16:04:25,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,6,нет,Тбилиси,1 гр,0.0251,14100,5198,482,189.0,,,,,,,,,Kokain HQ 1g.
16,16,09-04-2020 16:04:25,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1099,67145,24750,2296,900.0,,,,,,,,,Metadon 1gr
17,17,09-04-2020 16:04:25,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0024,1492,550,51,20.0,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
