,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,12-03-2020 08:48:57,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,8,нет,Тбилиси,1 гр,0.0084,4932,1829,160,69.0,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
25,25,12-03-2020 08:48:57,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.0077,5003,1855,162,70.0,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
26,26,12-03-2020 08:48:57,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0084,4932,1829,160,69.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
27,27,12-03-2020 08:48:57,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0237,14584,5409,472,,,180.0,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
28,28,12-03-2020 08:48:57,Tbilisi,64284550d9,2G ---> INDICA,,18,нет,Тбилиси,2 гр,0.008,4789,1776,155,67.0,,,True,,,,,,,2G ---> INDICA
29,29,12-03-2020 08:48:57,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.044000000000000004,25730,9540,833,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
30,30,12-03-2020 08:48:57,Tbilisi,edfbad0151,THC Snow Buds Only 2G (THC 23+%),True,1,нет,Тбилиси,2 гр,0.0103,6075,2253,197,85.0,,,,,,,,,,THC Snow Buds Only 2G (THC 23+%)
31,31,12-03-2020 08:48:57,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,7,нет,Тбилиси,2 гр,0.0039,2502,928,81,35.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
32,32,12-03-2020 08:48:57,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.044000000000000004,27088,10044,877,379.0,,,,,,,,,,Kokain HQ 2g.
33,33,12-03-2020 08:48:57,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0342,21065,7813,682,,,260.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
34,34,12-03-2020 08:49:32,Tbilisi,64284550d9,3G ---> INDICA,,20,нет,Тбилиси,3 гр,0.0102,6647,2465,215,93.0,,,True,,,,,,,3G ---> INDICA
35,35,12-03-2020 08:49:32,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0121,7076,2624,229,99.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
36,36,12-03-2020 08:49:32,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.0141,8219,3048,266,115.0,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
