,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
101,101,12-03-2020 08:51:40,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,15,нет,Батуми,1 гр,0.022000000000000002,14294,5300,463,200.0,,,,,,,True,,,NZT-52 limited 1 g muka
102,102,12-03-2020 08:51:40,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0073,4288,1590,139,60.0,,,,,,,True,,,ORANGE PUNCH [1g]
103,103,12-03-2020 08:51:40,Batumi,012f23b5ea,Power Africa 1g,,2,нет,Батуми,1 гр,0.0055,3574,1325,116,50.0,,,,,,,True,,,Power Africa 1g
104,104,12-03-2020 08:51:40,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0396,25730,9540,833,360.0,,,,,,,True,,,NZT-52 limited 2g muka
105,105,12-03-2020 08:51:40,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0303,17868,6625,579,250.0,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
106,106,12-03-2020 08:51:40,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1816,107208,39750,3471,1500.0,,,,,,,True,,,Skunk! 50 gr.
107,107,12-03-2020 08:51:40,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,2,4,Батуми,0.27 гр,0.033,19297,7155,625,270.0,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
108,108,12-03-2020 08:51:40,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.022000000000000002,14294,5300,463,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
109,109,12-03-2020 08:51:40,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2446,142944,53000,4628,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
110,110,12-03-2020 08:51:40,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1835,107208,39750,3471,1500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
111,111,12-03-2020 08:51:40,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0055,3574,1325,116,50.0,,,,,,,True,,,kur'er v Batumi
112,112,12-03-2020 08:51:40,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0275,17868,6625,579,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
113,113,12-03-2020 08:51:40,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0165,10721,3975,347,150.0,,,,,,,True,,,Rabota na marki (kur'er)
114,114,12-03-2020 08:51:40,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0275,17868,6625,579,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
115,115,12-03-2020 08:51:40,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.8329,1072080,397500,34712,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
116,116,12-03-2020 08:51:40,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0605,35736,13250,1157,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
117,117,12-03-2020 08:52:32,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0165,10721,3975,347,150.0,,,,,,,,,True,Rabota na marki (kur'er)
