,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,21-04-2020 20:57:13,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0189,10295,3699,331,135,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,21-04-2020 20:57:13,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0187,10295,3699,331,135,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,21-04-2020 20:57:13,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.0069,4194,1507,135,55,,,,,,,,,,1 G Hybrid Marijuana Buds
3,21-04-2020 20:57:13,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0325,17920,6439,576,235,,,,,,,,,,Cocaine Pure VHQ 1g
4,21-04-2020 20:57:13,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0329,18301,6576,588,240,,,,,,,,,,VHQ BEST Cocaine 1g.
5,21-04-2020 20:57:13,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0301,16776,6028,539,220,,,,,,,,,,Kokain HQ 1g.
6,21-04-2020 20:57:13,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1133,68631,24660,2206,900,,,,,,,,,,Metadon 1gr
7,21-04-2020 20:57:13,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0126,7626,2740,245,100,,,,,,,,,,2 G Hybrid Marijuana Buds
8,21-04-2020 20:57:13,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,1,нет,Тбилиси,2 гр,0.0118,6482,2329,208,85,True,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
9,21-04-2020 20:57:13,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.011,6024,2165,194,79,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
10,21-04-2020 20:57:13,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0098,5338,1918,172,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
11,21-04-2020 20:57:13,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0118,6482,2329,208,85,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
12,21-04-2020 20:57:13,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0166,9074,3261,292,119,,,True,,,,,,,3g superskunk top class buds. Indica
13,21-04-2020 20:57:13,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0147,8007,2877,257,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
14,21-04-2020 20:57:13,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0076,4194,1507,135,55,,,,,,,,,,N booom 4 shtuki (300 aragveli)
15,21-04-2020 20:57:13,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0076,4194,1507,135,55,,,,,,,,,,N booom 4 shtuki (vazisubani)
16,21-04-2020 20:57:13,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (глдани),,3,нет,Тбилиси,4 гр,0.0076,4194,1507,135,55,,,True,,,,,,,N booom 4 shtuki (gldani)
17,21-04-2020 20:57:13,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0278,15175,5453,488,199,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
18,21-04-2020 20:57:13,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0425,24402,8768,784,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,21-04-2020 20:57:13,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0411,22877,8220,735,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
