,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Old Tbilisi (Старый город),Vake,Gldani,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
59,04-04-2020 01:19:48,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0243,13215,4701,440,170,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
60,04-04-2020 01:19:48,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0284,15469,5502,515,199,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
61,04-04-2020 01:19:48,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0284,15469,5502,515,199,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
62,04-04-2020 01:19:48,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0284,17023,6055,567,219,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
63,04-04-2020 01:19:48,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0432,23320,8295,777,300,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
64,04-04-2020 01:19:48,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0284,15469,5502,515,199,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
65,04-04-2020 01:19:48,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0259,15547,5530,518,200,True,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
66,04-04-2020 01:19:48,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.317,190000,87429,6308,,True,,,,,,,,,,,reagent 25i nbome. 5gr
67,04-04-2020 01:19:48,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.389,233198,82950,7768,3000,,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
68,04-04-2020 01:20:37,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1252,67550,24028,2250,869,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
