,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,Дигоми,Varketili,Авлобари,Gldani,Didube,€,Центр,Батуми,Кутаиси,desc_en
0,0,05-05-2020 08:20:59,Tbilisi,8ddca45a78,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,0.5 гр,0.003,2036,760,69,28.0,,,,,,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
1,1,05-05-2020 08:20:59,Tbilisi,8ddca45a78,"0,5g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,0.5 гр,0.003,2036,760,69,28.0,,,,,,,,,,,,,"0,5g WHITE WIDOW (Hybrid, more sativa)"
2,2,05-05-2020 08:20:59,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,4,нет,Тбилиси,0.5 гр,0.0037,2545,950,86,35.0,True,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,3,05-05-2020 08:20:59,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,0.5 гр,0.0036,2473,923,83,34.0,,True,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
4,4,05-05-2020 08:20:59,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0143,9818,3665,331,135.0,,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,5,05-05-2020 08:20:59,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,4000,1493,135,55.0,,,True,,,,,,,,,,HQ Euro Hashish 0.5 g
6,6,05-05-2020 08:20:59,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,2,нет,Тбилиси,0.5 гр,0.0028,2109,787,71,29.0,,,,True,True,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
7,7,05-05-2020 08:20:59,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,5,нет,Тбилиси,1 гр,0.0058,4000,1493,135,55.0,,True,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
8,8,05-05-2020 08:20:59,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,8,нет,Тбилиси,1 гр,0.0058,4000,1493,135,55.0,True,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
9,9,05-05-2020 08:20:59,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,6,нет,Тбилиси,1 гр,0.006,4145,1548,140,57.0,True,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,05-05-2020 08:20:59,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.006,4145,1548,140,57.0,True,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
11,11,05-05-2020 08:20:59,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,6,нет,Тбилиси,1 гр,0.0058,4000,1493,135,55.0,True,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
12,12,05-05-2020 08:20:59,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,10,нет,Тбилиси,1 гр,0.0319,21745,8118,734,299.0,,True,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
13,13,05-05-2020 08:20:59,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",,3,нет,Тбилиси,1 гр,0.0051,3491,1303,118,48.0,,True,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
14,14,05-05-2020 08:20:59,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",,6,нет,Тбилиси,1 гр,0.0051,3491,1303,118,48.0,,True,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
15,15,05-05-2020 08:20:59,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",,1,нет,Тбилиси,1 гр,0.0051,3491,1303,118,48.0,,True,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
16,16,05-05-2020 08:20:59,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,2,нет,Тбилиси,1 гр,0.0058,4000,1493,135,55.0,,True,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
17,17,05-05-2020 08:20:59,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,3,нет,Тбилиси,1 гр,0.0039,2982,1113,101,41.0,,True,,,,,,,,,,,Hybrid Ana-sha 1G.
18,18,05-05-2020 08:20:59,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",True,2,нет,Тбилиси,1 гр,0.0047,3564,1330,120,49.0,,,,True,,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
19,19,05-05-2020 08:20:59,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,,13,нет,Тбилиси,1 гр,0.0043,2982,1113,101,41.0,,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
20,20,05-05-2020 08:20:59,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0864,65454,24435,2209,900.0,,True,,,,,,,,,,,Metadon 1gr
21,21,05-05-2020 08:20:59,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",True,10,нет,Тбилиси,1.5 гр,0.0067,5091,1901,172,70.0,,,,True,True,True,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
22,22,05-05-2020 08:20:59,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,5,нет,Тбилиси,2 гр,0.0095,6473,2416,218,89.0,,True,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
23,23,05-05-2020 08:20:59,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,7,нет,Тбилиси,2 гр,0.0106,7273,2715,245,100.0,,True,,,,,,,,,,,2 G Hybrid Marijuana Buds
24,24,05-05-2020 08:20:59,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,5,нет,Тбилиси,2 гр,0.0095,6473,2416,218,89.0,,True,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
25,25,05-05-2020 08:20:59,Tbilisi,4659482266,2g super Skunk top class buds.,,3,нет,Тбилиси,2 гр,0.0091,6182,2308,209,85.0,,,,,,,True,,,,,,2g super Skunk top class buds.
26,26,05-05-2020 08:20:59,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,6,нет,Тбилиси,2 гр,0.0105,7200,2688,243,99.0,,True,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
27,27,05-05-2020 08:20:59,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,2 гр,0.0075,5091,1901,172,70.0,,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
28,28,05-05-2020 08:21:00,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,19,нет,Тбилиси,2 гр,0.0094,6473,2416,218,89.0,,True,,True,,,,True,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
29,29,05-05-2020 08:21:00,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0502,34909,13032,1178,480.0,,True,,,,,,,,,,,VHQ BEST Cocaine 2g.
30,30,05-05-2020 08:21:00,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,3,нет,Тбилиси,2 гр,0.009000000000000001,6182,2308,209,85.0,,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
31,31,05-05-2020 08:21:00,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,4,нет,Тбилиси,3 гр,0.0127,8654,3231,292,119.0,,True,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
32,32,05-05-2020 08:21:00,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,9,нет,Тбилиси,3 гр,0.0137,9454,3530,319,130.0,,True,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
