,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vazisubani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
10,10,29-07-2020 20:44:42,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3612,1393,121,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
11,11,29-07-2020 20:44:42,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0088,7151,2757,239,99.0,,,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,12,29-07-2020 20:44:42,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0106,8668,3342,289,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
13,13,29-07-2020 20:44:42,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0106,8668,3342,289,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,14,29-07-2020 20:44:42,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0089,7223,2785,241,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
15,15,29-07-2020 20:44:42,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0106,8668,3342,289,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
16,16,29-07-2020 20:44:42,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0078,6357,2451,212,88.0,,,,,,,,,,,,2gr HYBRID buds
17,17,29-07-2020 20:44:42,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0106,8668,3342,289,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
18,18,29-07-2020 20:44:42,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,1,нет,Тбилиси,2 гр,0.0089,7946,3064,265,110.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
19,19,29-07-2020 20:44:42,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),,2,нет,Тбилиси,3 гр,0.0133,10835,4178,362,150.0,,True,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
20,20,29-07-2020 20:44:42,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.008,7151,2757,239,99.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
21,21,29-07-2020 20:44:42,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0239,19503,7520,651,270.0,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
22,22,29-07-2020 20:44:42,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,нет,Тбилиси,10 гр,0.0241,21598,8327,721,299.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
23,23,29-07-2020 20:44:42,Tbilisi,52fe6d0af9,VHQ Methadon 0.25G max 12 Hours for adrss,True,нет,1,Тбилиси,0.25 гр,0.0226,20226,7798,675,280.0,,,,,,,,,,,,VHQ Methadon 0.25G max 12 Hours for adrss
24,24,29-07-2020 20:44:42,Tbilisi,52fe6d0af9,VHQ Methadon 0.5G max 12 Hours for adrss,True,нет,1,Тбилиси,0.5 гр,0.0487,39729,15318,1326,550.0,,,,,,,,,,,,VHQ Methadon 0.5G max 12 Hours for adrss
25,25,29-07-2020 20:44:42,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0886,72235,27850,2410,1000.0,,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
26,26,29-07-2020 20:44:42,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0326,26323,10122,877,,,,,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
27,27,29-07-2020 20:44:42,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0355,28894,11140,964,400.0,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,29-07-2020 20:44:42,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0222,18059,6963,603,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
29,29,29-07-2020 20:44:42,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0239,19503,7520,651,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,30,29-07-2020 20:44:42,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0244,19865,7659,663,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,31,29-07-2020 20:44:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0213,17336,6684,578,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,32,29-07-2020 20:44:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0248,20226,7798,675,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,29-07-2020 20:44:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0239,19503,7520,651,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,34,29-07-2020 20:44:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0176,15819,6099,528,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,29-07-2020 20:45:43,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,5,Тбилиси,5 гр,0.0208,16975,6545,566,235.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
36,36,29-07-2020 20:45:43,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0194,17336,6684,578,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
37,37,29-07-2020 20:45:43,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0208,16975,6545,566,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
38,38,29-07-2020 20:45:43,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.024,19503,7520,651,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
