,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Vazisubani,Nadzaladevi,€,Авлобари,Батуми,Центр,desc_en
0,0,21-06-2020 01:47:01,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0092,6262,2421,214,90.0,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
1,1,21-06-2020 01:47:01,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0034,2296,888,78,33.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,2,21-06-2020 01:47:01,Tbilisi,16a8841259,Ak47 0.5г,True,14,нет,Тбилиси,0.5 гр,0.0032,2157,834,74,31.0,,,,,,,,,,,,Ak47 0.5g
3,3,21-06-2020 01:47:01,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0164,11132,4304,380,160.0,True,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,21-06-2020 01:47:01,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,33,нет,Тбилиси,0.5 гр,0.0031,2087,807,71,30.0,True,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,21-06-2020 01:47:01,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",True,12,нет,Тбилиси,0.5 гр,0.003,2087,807,71,30.0,,,,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
6,6,21-06-2020 01:47:01,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.0135,9044,3497,309,130.0,,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,7,21-06-2020 01:47:01,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0062,4174,1614,143,60.0,,,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,21-06-2020 01:47:01,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0062,4174,1614,143,60.0,,True,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,9,21-06-2020 01:47:01,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0061,4105,1587,140,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,21-06-2020 01:47:01,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0061,4105,1587,140,59.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
11,11,21-06-2020 01:47:01,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,6,нет,Тбилиси,1 гр,0.0062,4174,1614,143,60.0,,,True,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
12,12,21-06-2020 01:47:01,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,1,нет,Тбилиси,1 гр,0.0062,4174,1614,143,60.0,,True,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
