,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Vazisubani,Zahesi,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
23,04-07-2020 13:15:53,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,3,нет,Тбилиси,3 гр,0.0091,6134,2379,211,,,87,True,,,,,,,,,,3 gr georgian weed. Package on magnet
24,04-07-2020 13:15:53,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,12,нет,Тбилиси,3 гр,0.0058,3878,1504,133,,True,55,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
25,04-07-2020 13:15:53,Tbilisi,7U9YP,ChitosPizz,Weed Сорт Purple 3гр,,2,нет,Тбилиси,3 гр,0.008,5922,2297,203,,True,84,,,,,,,,,,,Weed Sort Purple 3gr
26,04-07-2020 13:15:53,Tbilisi,2LY77,SveetWeed,5 + GRAMM NEW BEASTWEED,,1,нет,Тбилиси,5 гр,0.01,7402,2872,254,,True,105,,,,,,,,,,,5 + GRAMM NEW BEASTWEED
27,04-07-2020 13:15:53,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,5 гр,0.0073,4865,1887,167,,True,69,,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
28,04-07-2020 13:15:53,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,,7,нет,Тбилиси,5 гр,0.0142,10504,4075,361,,True,149,,,,,,,,,,,5g. GEO Marihuana boshki
29,04-07-2020 13:15:53,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1418,95104,36895,3266,,True,1349,,,,,,,,,,,VHQ BEST Cocaine 5g.
30,04-07-2020 13:15:53,Tbilisi,A3I9,Joookerrr,марки н-боом 5шт.,,1,4,Тбилиси,5 гр,0.0068,4583,1778,157,,True,65,,,,,True,,,,,,marki n-boom 5sht.
31,04-07-2020 13:15:53,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0251,16849,6537,579,,True,239,,,,,,,,,,,10 gr georgian weed. Package on magnet
32,04-07-2020 13:15:53,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,2,нет,Тбилиси,10 гр,0.0137,9094,3528,312,,True,129,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
33,04-07-2020 13:15:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0459,31725,12308,1090,,True,450,,,,,,,,,,,Gashish Evro 10gr
34,04-07-2020 13:15:53,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,3,нет,Тбилиси,11 гр,0.0172,12690,4923,436,,True,180,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
35,04-07-2020 13:17:16,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0478,35250,13675,1211,,True,500,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
36,04-07-2020 13:17:16,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4583,1778,157,,True,65,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
37,04-07-2020 13:17:16,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0349,25732,9983,884,,True,365,,,,,,,,,,,25 GGAMM NEW BEASTWEED
38,04-07-2020 13:17:16,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2122,141000,54700,4843,,True,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,04-07-2020 13:17:16,Tbilisi,A3I9,Joookerrr,Heroin (sirec) made from Azerbaijan 0.2 гр.,,нет,10,Тбилиси,0.2 гр,0.0101,6768,2626,232,,True,96,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
