,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,desc_en
0,0,23-04-2020 15:32:01,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1118,67616,24480,2245,900.0,,,,,,,,,,,,,,,Metadon 1gr
1,1,23-04-2020 15:32:01,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0109,5935,2149,197,79.0,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
2,2,23-04-2020 15:32:01,Tbilisi,54915c4374,Марки Н-ВоооооМ!!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0049,2705,979,90,36.0,True,,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
3,3,23-04-2020 15:32:01,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0116,6386,2312,212,85.0,,True,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
4,4,23-04-2020 15:32:01,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,2,нет,Тбилиси,4 гр,0.0075,4132,1496,137,55.0,,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
5,5,23-04-2020 15:32:01,Tbilisi,54915c4374,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0075,4132,1496,137,55.0,,,,,,,,,,,,,,,N booom 4 shtuki (vazisubani)
6,6,23-04-2020 15:32:01,Tbilisi,54915c4374,Н бооом 4 штуки (глдани),,2,нет,Тбилиси,4 гр,0.0075,4132,1496,137,55.0,,,True,,,,,,,,,,,,N booom 4 shtuki (gldani)
7,7,23-04-2020 15:32:01,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.042,24041,8704,798,320.0,,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
8,8,23-04-2020 15:32:01,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0406,22539,8160,748,300.0,,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
9,9,23-04-2020 15:32:01,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,1,нет,Тбилиси,5 гр,0.0212,11645,4216,387,155.0,True,,,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
10,10,23-04-2020 15:32:01,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,1,нет,Тбилиси,10 гр,0.0137,7513,2720,249,100.0,,,,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
11,11,23-04-2020 15:32:01,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0525,30052,10880,998,400.0,,,,,,,,,,,,,,,gashish evro 10g
12,12,23-04-2020 15:32:01,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1019,58375,21134,1939,777.0,,,,,,,,,,,,,,,Gashish Evro 20gr
13,13,23-04-2020 15:32:01,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2485,150258,54400,4990,2000.0,,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
14,14,23-04-2020 15:32:01,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0509,27723,10037,921,369.0,,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
15,15,23-04-2020 15:32:01,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0814,44326,16048,1472,590.0,,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
16,16,23-04-2020 15:32:01,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,39,Тбилиси,4 гр,0.0074,4463,1623,149,,True,True,True,True,True,True,True,True,True,True,True,55.0,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
17,17,23-04-2020 15:32:01,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0547,30052,10880,998,400.0,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
