,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,€,Центр,desc_en
63,15-08-2020 18:20:56,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0356,30751,11592,1032,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,15-08-2020 18:20:56,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0678,58573,22080,1965,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,15-08-2020 18:20:56,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,нет,5,Тбилиси,10 гр,0.0012,1025,386,34,14,,,,,,,,,,,,GABAGAMA 10 shtuk
66,15-08-2020 18:20:56,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1886,162905,61410,5465,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,15-08-2020 18:20:56,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2034,175718,66240,5895,2400,,,,,,,,,,,,100 gr marijuana buds
68,15-08-2020 18:20:56,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0084,7248,2732,243,99,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
69,15-08-2020 18:20:56,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2119,183039,69000,6141,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,15-08-2020 18:20:56,Tbilisi,51K,tiabaldo66,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0063,5638,2125,189,77,,,,,,,,,,,,RoSS Uboj 2gr
71,15-08-2020 18:20:56,Tbilisi,S54D,wildindian,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2465,234290,88320,7860,3200,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,15-08-2020 18:22:11,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4998,431973,162840,14493,5900,,,,,,,,,,,,180 gr marihuana persoalno
