,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Old Tbilisi (Старый город),Дигоми,Vake,Авлобари,Varketili,Батуми,Центр,desc_en
52,52,26-07-2020 02:12:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.22899999999999998,159304,62345,5317,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
53,53,26-07-2020 02:12:36,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.053,36565,14344,1219,440.0,True,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
54,54,26-07-2020 02:12:36,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.047,32410,12714,1081,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,55,26-07-2020 02:12:36,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.247,171834,67248,5736,,True,2400.0,,,,,,,,,100 gr marijuana buds
56,56,26-07-2020 02:12:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2573,178994,70050,5975,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,26-07-2020 02:12:36,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6073,422425,165318,14100,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
58,58,26-07-2020 02:12:36,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.1029,71597,28020,2390,,,1000.0,,,,,True,True,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
59,59,26-07-2020 02:12:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8749,608578,238170,20313,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,26-07-2020 02:12:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,14319,5604,478,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
61,61,26-07-2020 02:12:36,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0103,7160,2802,239,,,100.0,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
62,62,26-07-2020 02:12:36,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0257,17899,7005,597,,True,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,63,26-07-2020 02:12:36,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0374,28639,11208,956,,True,400.0,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
64,64,26-07-2020 02:12:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,14319,5604,478,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,26-07-2020 02:12:36,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0257,17899,7005,597,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
66,66,26-07-2020 02:12:36,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0515,35799,14010,1195,,True,500.0,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
67,67,26-07-2020 02:12:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5579,1073961,420300,35847,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
68,68,26-07-2020 02:12:36,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0515,35799,14010,1195,,,500.0,,True,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
69,69,26-07-2020 02:14:56,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,2,нет,Батуми,2 гр,0.0043,3007,1177,100,,,42.0,,,,,,,True,,Melkie shishki (Indica) 2g
70,70,26-07-2020 02:14:56,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,3,нет,Батуми,5 гр,0.0262,20047,7846,669,,,280.0,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
71,71,26-07-2020 02:14:56,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0463,32219,12609,1075,,,450.0,,,,,,,,True,Super Critical 10G
72,72,26-07-2020 02:14:56,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0374,25762,10106,859,310.0,,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
73,73,26-07-2020 02:14:56,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0531,36565,14344,1219,440.0,,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
74,74,26-07-2020 02:14:56,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.047,32410,12714,1081,390.0,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
75,75,26-07-2020 02:14:56,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0481,33158,13007,1106,399.0,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
76,76,26-07-2020 02:14:56,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7160,2802,239,,,100.0,,,,,,,True,,kur'er v Batumi
77,77,26-07-2020 02:14:56,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17899,7005,597,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
78,78,26-07-2020 02:14:56,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17899,7005,597,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
79,79,26-07-2020 02:14:56,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0206,14319,5604,478,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
80,80,26-07-2020 02:14:56,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5586,1073961,420300,35847,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
81,81,26-07-2020 02:14:56,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0515,35799,14010,1195,,,500.0,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
