,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Old Tbilisi (Старый город),Дигоми,Vake,Авлобари,Varketili,Батуми,Центр,desc_en
0,0,26-07-2020 02:11:29,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,2,нет,Тбилиси,0.5 гр,0.0068,4820,1891,161,58.0,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,26-07-2020 02:11:29,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,17,нет,Тбилиси,0.5 гр,0.0034,2363,925,79,,True,33.0,,,,,,,,,0.5 gr HYBRID buds
2,2,26-07-2020 02:11:29,Tbilisi,21de5577be,0.5 gr. Lemon Haze (Sativa),True,9,нет,Тбилиси,0.5 гр,0.0033,2291,897,76,,,32.0,,,,,,,,,0.5 gr. Lemon Haze (Sativa)
3,3,26-07-2020 02:11:29,Tbilisi,64284550d9,0.5-G ---> Pineapple (BTC - Sale),True,7,нет,Тбилиси,0.5 гр,0.0029,2005,785,67,,,28.0,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
4,4,26-07-2020 02:11:29,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,22,нет,Тбилиси,0.5 гр,0.0034,2363,925,79,,True,33.0,True,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,5,26-07-2020 02:11:29,Tbilisi,83f3d55917,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG ),,2,нет,Тбилиси,1 гр,0.0057,3938,1541,131,,,55.0,,True,,,,,,,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG )
6,6,26-07-2020 02:11:29,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.0062,4296,1681,143,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,26-07-2020 02:11:29,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.0062,4296,1681,143,,True,60.0,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,26-07-2020 02:11:29,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,True,59.0,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,26-07-2020 02:11:29,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,9,нет,Тбилиси,1 гр,0.005,3508,1373,117,,True,49.0,,,,,,,,,1gr HYBRID o.g
10,10,26-07-2020 02:11:29,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,1 гр,0.005,3508,1373,117,,True,49.0,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,11,26-07-2020 02:11:29,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,1 гр,0.0051,3938,1541,131,,,55.0,,,True,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
12,12,26-07-2020 02:11:29,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0051,3938,1541,131,,True,55.0,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,13,26-07-2020 02:11:29,Tbilisi,f374062dcd,Сирец Иран 1гр,,4,нет,Тбилиси,1 гр,0.0257,18615,7285,621,,True,260.0,,,,,,,,,Sirets Iran 1gr
14,14,26-07-2020 02:11:29,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,,23,нет,Тбилиси,1 гр,0.0051,3600,1657,120,,True,,,,,,,,,,Shishka dobraja 1 g
15,15,26-07-2020 02:11:29,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0102,7088,2774,237,,,99.0,,,True,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,26-07-2020 02:11:29,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120.0,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
17,17,26-07-2020 02:11:29,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0113,7876,3082,263,,True,110.0,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
18,18,26-07-2020 02:11:29,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120.0,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
19,19,26-07-2020 02:11:29,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,3,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120.0,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
20,20,26-07-2020 02:11:29,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,3,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120.0,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
21,21,26-07-2020 02:11:29,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0103,7876,3082,263,,True,110.0,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
22,22,26-07-2020 02:11:29,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,2,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120.0,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
23,23,26-07-2020 02:11:29,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),True,2,нет,Тбилиси,3 гр,0.0154,10740,4203,358,,,150.0,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
24,24,26-07-2020 02:11:29,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0025,1718,672,57,,,24.0,,,True,,,,,,Marijuana Super Skunk leaves 3g plan
25,25,26-07-2020 02:11:29,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0108,8234,3222,275,,True,115.0,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
26,26,26-07-2020 02:11:29,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0288,20047,7846,669,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
27,27,26-07-2020 02:11:29,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0278,19331,7565,645,,True,270.0,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
28,28,26-07-2020 02:11:29,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0182,13962,5464,466,,True,195.0,,,,,,,,,5g. marihuana shishki Critical
29,29,26-07-2020 02:11:29,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,2,1,Тбилиси,5 гр,0.0225,17183,6725,574,,True,240.0,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
30,30,26-07-2020 02:11:29,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram special price,,1,нет,Тбилиси,10 гр,0.0318,24343,9527,813,,True,340.0,,,,,,,,,Northern Lights Regular [budsonly] 10gram special price
31,31,26-07-2020 02:11:29,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2077,143195,56040,4780,,True,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
32,32,26-07-2020 02:11:29,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0374,25762,10106,859,310.0,True,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
33,33,26-07-2020 02:11:29,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.0412,28639,11208,956,,True,400.0,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,26-07-2020 02:11:29,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0257,17899,7005,597,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
35,35,26-07-2020 02:12:36,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0278,19331,7565,645,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
36,36,26-07-2020 02:12:36,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0283,19689,7706,657,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,26-07-2020 02:12:36,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,17183,6725,574,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
38,38,26-07-2020 02:12:36,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0288,20047,7846,669,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,39,26-07-2020 02:12:36,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,19331,7565,645,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,40,26-07-2020 02:12:36,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15680,6136,523,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,41,26-07-2020 02:12:36,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,6,Тбилиси,5 гр,0.0242,16825,6585,562,,True,235.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
42,42,26-07-2020 02:12:36,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0278,19331,7565,645,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,26-07-2020 02:12:36,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2483,190000,87429,6346,,True,,,,,,,,,,reagent 25i nbome. 5gr
44,44,26-07-2020 02:12:36,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2807,214792,84060,7169,,,3000.0,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,45,26-07-2020 02:12:36,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0241,16621,6520,554,200.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
46,46,26-07-2020 02:12:36,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0926,64438,25218,2151,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,26-07-2020 02:12:36,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0566,39379,15411,1314,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,26-07-2020 02:12:36,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.07200000000000001,50118,19614,1673,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,26-07-2020 02:12:36,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0432,30071,11768,1004,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,50,26-07-2020 02:12:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0823,57278,22416,1912,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,51,26-07-2020 02:12:36,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0432,30071,11768,1004,,True,420.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
