,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,15-03-2020 08:25:36,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,нет,Тбилиси,0.15 гр,0.026,10978,4034,351,150,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,15-03-2020 08:25:36,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0171,7319,2689,234,100,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,15-03-2020 08:25:36,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0296,13906,5109,445,190,,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,15-03-2020 08:25:36,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,8,нет,Тбилиси,0.25 гр,0.0274,11710,4302,374,160,,,,,,,,,,,,"Metadon VHQ 0,25"
4,15-03-2020 08:25:36,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0519,21956,8067,702,300,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,15-03-2020 08:25:36,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0163,7246,2662,232,99,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,15-03-2020 08:25:36,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,,16,нет,Тбилиси,0.5 гр,0.0094,4025,1479,129,55,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
7,15-03-2020 08:25:36,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0179,7978,2931,255,109,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,15-03-2020 08:25:36,Tbilisi,V4T,COCAcoLA,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,25,нет,Тбилиси,0.5 гр,0.0171,7319,2689,234,100,True,,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
9,15-03-2020 08:25:36,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0078,3659,1345,117,50,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
10,15-03-2020 08:25:36,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0086,3659,1345,117,50,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
