,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Gldani,Didube,Авлобари,Батуми,Центр,desc_en
0,0,11-03-2020 05:14:54,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0243,15124,5426,487,210.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,11-03-2020 05:14:54,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0389,23047,8269,743,320.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,2,11-03-2020 05:14:54,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,7,нет,Тбилиси,0.5 гр,0.012,7130,2558,230,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,3,11-03-2020 05:14:54,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,3,нет,Тбилиси,0.5 гр,0.0036,2161,775,70,30.0,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,4,11-03-2020 05:14:54,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0044,2881,1034,93,40.0,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,11-03-2020 05:14:54,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0047,2809,1008,91,39.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
6,6,11-03-2020 05:14:54,Tbilisi,64284550d9,1G ---> INDICA,,4,нет,Тбилиси,1 гр,0.0041,2521,904,81,35.0,True,,,,,,,,1G ---> INDICA
7,7,11-03-2020 05:14:54,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0054,3241,1163,104,45.0,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,8,11-03-2020 05:14:54,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.0241,14260,5116,460,198.0,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
9,9,11-03-2020 05:14:54,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0153,10083,3618,325,140.0,,,,,,,,,ALFA PVP 1g
