,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Didube,Varketili,Vake,Центр,Батуми,desc_en
0,01-08-2020 19:07:52,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0028,2423,919,80,33,,,,,,,,,,,,0.5 gr HYBRID buds
1,01-08-2020 19:07:52,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural / Sativa,,6,нет,Тбилиси,0.5 гр,0.0027,2350,892,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural / Sativa
2,01-08-2020 19:07:52,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,8,нет,Тбилиси,0.5 гр,0.0025,2129,808,71,29,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
3,01-08-2020 19:07:52,Tbilisi,9Y6T,WeedShop,0.5г Northen Light,True,2,нет,Тбилиси,0.5 гр,0.0026,2276,864,76,31,,,,,,,,,,,,0.5g Northen Light
4,01-08-2020 19:07:52,Tbilisi,9Y6T,WeedShop,0.5г Skunk,True,3,нет,Тбилиси,0.5 гр,0.0026,2276,864,76,31,,,,,,,,,,,,0.5g Skunk
5,01-08-2020 19:07:52,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,8,нет,Тбилиси,0.5 гр,0.0029,2496,947,83,34,True,,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
6,01-08-2020 19:07:52,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,5,нет,Тбилиси,0.5 гр,0.0029,2496,947,83,34,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
7,01-08-2020 19:07:52,Tbilisi,9Y6T,WeedShop,Tangerine 0.5г,True,8,нет,Тбилиси,0.5 гр,0.0027,2350,892,78,32,,,,,,,,,,,,Tangerine 0.5g
8,01-08-2020 19:07:52,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0026,2203,836,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
9,01-08-2020 19:07:52,Tbilisi,I7IU,MrPickless,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,4,нет,Тбилиси,0.5 гр,0.002,1836,697,61,25,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
10,01-08-2020 19:07:52,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0051,4406,1672,146,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,01-08-2020 19:07:52,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.005,4332,1644,144,59,,,,,,,,,,,,1 gr super lemon haze probnik
12,01-08-2020 19:07:52,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,1 гр,0.005,4332,1644,144,59,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
13,01-08-2020 19:07:52,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,6,нет,Тбилиси,1 гр,0.005,4332,1644,144,59,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
