,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,€,Батуми,Центр,Кутаиси,desc_en
0,0,06-05-2020 23:23:13,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0037,2589,947,85,35.0,,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,06-05-2020 23:23:13,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,4068,1488,134,55.0,True,,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,2,06-05-2020 23:23:13,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0029,1997,730,66,27.0,,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,06-05-2020 23:23:13,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0147,10356,3787,342,140.0,,True,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,06-05-2020 23:23:13,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,8,нет,Тбилиси,1 гр,0.0058,4068,1488,134,55.0,,True,,,,,,,,,,,1 G Hybrid Marijuana Buds
5,5,06-05-2020 23:23:13,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,1,нет,Тбилиси,1 гр,0.0058,4068,1488,134,55.0,,True,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,6,06-05-2020 23:23:13,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0058,4068,1488,134,55.0,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,06-05-2020 23:23:13,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.0049,3773,1380,124,51.0,True,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
8,8,06-05-2020 23:23:13,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,1 гр,0.006,4216,1542,139,57.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,06-05-2020 23:23:13,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,2,нет,Тбилиси,1 гр,0.0058,4068,1488,134,55.0,,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
10,10,06-05-2020 23:23:13,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,14,нет,Тбилиси,1 гр,0.032,22118,8088,730,299.0,,True,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,11,06-05-2020 23:23:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0249,17383,6357,574,235.0,,True,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,06-05-2020 23:23:13,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,6,нет,Тбилиси,1 гр,0.0058,4068,1488,134,55.0,,,True,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
13,13,06-05-2020 23:23:13,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,,4,нет,Тбилиси,1 гр,0.0043,3033,1109,100,41.0,,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
14,14,06-05-2020 23:23:13,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0866,66575,24345,2196,900.0,,True,,,,,,,,,,,Metadon 1gr
15,15,06-05-2020 23:23:13,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0255,17679,6465,583,239.0,,,,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
16,16,06-05-2020 23:23:13,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0117,8063,2948,266,109.0,,,,True,,,,,,,,,✨ 1g. MDMA ✨
17,17,06-05-2020 23:23:13,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,2,нет,Тбилиси,1.5 гр,0.0067,5178,1894,171,70.0,,,,,True,True,,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
18,18,06-05-2020 23:23:13,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,2 гр,0.0095,6584,2407,217,89.0,,True,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
19,19,06-05-2020 23:23:13,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,10,нет,Тбилиси,2 гр,0.0106,7397,2705,244,100.0,,True,,,,,,,,,,,2 G Hybrid Marijuana Buds
20,20,06-05-2020 23:23:13,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0095,7323,2678,242,99.0,,True,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,21,06-05-2020 23:23:13,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,5,нет,Тбилиси,2 гр,0.0095,6584,2407,217,89.0,,True,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
22,22,06-05-2020 23:23:13,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0105,7323,2678,242,99.0,,True,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,23,06-05-2020 23:23:13,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0075,5178,1894,171,70.0,,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
