,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,25-05-2020 13:04:05,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0153,9991,3760,333,139.0,,,True,,,,,,,,,,5 gr georgian weed. Package on magnet
11,11,25-05-2020 13:04:05,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0131,8554,3219,285,119.0,,,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
12,12,25-05-2020 13:04:05,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,4,нет,Тбилиси,10 гр,0.0241,15742,5924,525,219.0,,,,True,,,,,,,,,10 gr georgian weed. Package on magnet
13,13,25-05-2020 13:04:05,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,10 гр,0.0219,14304,5383,477,199.0,,,,True,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
14,14,25-05-2020 13:04:05,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0481,32346,12173,1079,450.0,,,,,,,,,,,,,Gashish Evro 10gr
15,15,25-05-2020 13:04:05,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,2,11,Тбилиси,20 гр,0.0439,28680,10793,957,399.0,,,,True,,,,,,,,,20 gr georgian weed. Package on magnet
16,16,25-05-2020 13:04:05,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0821,55851,21018,1864,777.0,,,,,,,,,,,,,Gashish Evro 20gr
17,17,25-05-2020 13:04:05,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,1,нет,Тбилиси,50 гр,0.008,5750,2164,192,80.0,,,,,,,,,,,,,GABAGAMA 50 SHTUK
18,18,25-05-2020 13:04:05,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2002,143761,54100,4797,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,25-05-2020 13:04:05,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0185,13298,5004,444,185.0,,,,,,,,,,,,,GABAGAMA 150 shtuk
20,20,25-05-2020 13:04:05,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0108,7060,2651,236,,,,,,,90.0,,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
21,21,25-05-2020 13:04:05,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0361,25886,9719,864,,,,,,,330.0,,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
22,22,25-05-2020 13:04:05,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0234,15095,5681,504,210.0,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
