,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-04-2020 08:30:09,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0146,8039,2987,270,109,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,13-04-2020 08:30:09,Tbilisi,A3I9,Joookerrr,MDMA 0.5 грам.,True,1,нет,Тбилиси,0.5 гр,0.0095,5531,2055,186,75,,,,,,,,,,,,,MDMA 0.5 gram.
2,13-04-2020 08:30:09,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0174,9588,3562,322,130,,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,13-04-2020 08:30:09,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0061,3245,1206,109,44,,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
4,13-04-2020 08:30:09,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.007,4056,1507,136,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,13-04-2020 08:30:09,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0056,2950,1096,99,40,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
6,13-04-2020 08:30:09,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0077,4056,1507,136,55,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,13-04-2020 08:30:09,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,1 гр,0.0054,2876,1069,97,39,,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,13-04-2020 08:30:09,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,13,нет,Тбилиси,1 гр,0.0308,16152,6001,542,219,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,13-04-2020 08:30:09,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,4,нет,Тбилиси,1 гр,0.0077,4056,1507,136,55,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,13-04-2020 08:30:09,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0259,14308,5316,480,194,,,,,,,,,,,,,Cocaine Pure VHQ 1g
