,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
0,0,16-08-2020 17:08:18,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
1,1,16-08-2020 17:08:18,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,2,16-08-2020 17:08:18,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,0.5 гр,0.0025,2196,828,74,30.0,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,3,16-08-2020 17:08:18,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,7,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
4,4,16-08-2020 17:08:18,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
5,5,16-08-2020 17:08:18,Tbilisi,4a91350669,0.5 шишки Girl Scout Cookies тгк thc 28%,True,9,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,,0.5 shishki Girl Scout Cookies tgk thc 28%
6,6,16-08-2020 17:08:18,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,7,16-08-2020 17:08:18,Tbilisi,52fe6d0af9,VHQ Methadon 0.50G Imported Crystals,True,1,нет,Тбилиси,0.5 гр,0.0523,45028,16974,1511,615.0,,,,,,,,,,,VHQ Methadon 0.50G Imported Crystals
8,8,16-08-2020 17:08:18,Tbilisi,16a8841259,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,2,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
9,9,16-08-2020 17:08:18,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
10,10,16-08-2020 17:08:18,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,6,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,11,16-08-2020 17:08:18,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0051,4393,1656,147,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
