,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,26-04-2020 18:15:50,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0512,29887,10940,985,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,24,26-04-2020 18:15:50,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0703,41094,15043,1355,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25,26-04-2020 18:15:50,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,6,Тбилиси,5 гр,0.0217,12702,4650,419,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
26,26,26-04-2020 18:15:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0255,14869,5443,490,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,27,26-04-2020 18:15:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0255,14869,5443,490,199.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,28,26-04-2020 18:15:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0255,16363,5990,539,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,29,26-04-2020 18:15:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,6,Тбилиси,5 гр,0.0255,14869,5443,490,199.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,26-04-2020 18:15:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2957,190000,87429,6265,,,,,,,,,,,,,reagent 25i nbome. 5gr
31,31,26-04-2020 18:15:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3488,224149,82050,7389,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,32,26-04-2020 18:15:50,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1123,64928,23767,2140,869.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,26-04-2020 18:15:50,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0244,14121,5169,466,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
34,34,26-04-2020 18:17:02,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0632,36536,13374,1204,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
35,35,26-04-2020 18:17:02,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0244,14121,5169,466,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
36,36,26-04-2020 18:17:02,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,5,Тбилиси,10 гр,0.0165,9630,3540,318,,,,,,,120.0,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
37,37,26-04-2020 18:17:02,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1152,67245,24615,2217,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,26-04-2020 18:17:02,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0896,52301,19145,1724,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
39,39,26-04-2020 18:17:02,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0409,23909,8752,788,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
40,40,26-04-2020 18:17:02,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1024,59773,21880,1970,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
41,41,26-04-2020 18:17:02,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2847,166244,60854,5480,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
42,42,26-04-2020 18:17:02,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1873,108264,39630,3569,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
43,43,26-04-2020 18:17:02,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0477,27570,10092,909,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
44,44,26-04-2020 18:17:02,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0386,22340,8178,736,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
45,45,26-04-2020 18:17:02,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.6462,373582,136750,12315,5000.0,,,,,,,,,,,,METADON - 20 G.
46,46,26-04-2020 18:17:02,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0774,44755,16383,1475,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
47,47,26-04-2020 18:17:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1407,82188,30085,2709,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
48,48,26-04-2020 18:17:02,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3071,179319,65640,5911,2400.0,,,,,,,,,,,,100 gr marijuana buds
49,49,26-04-2020 18:17:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2559,149433,54700,4926,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
50,50,26-04-2020 18:17:02,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3199,186791,68375,6158,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
51,51,26-04-2020 18:17:02,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7549,440826,161365,14532,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
52,52,26-04-2020 18:17:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5886,343695,125810,11330,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
53,53,26-04-2020 18:17:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9596,560372,205125,18473,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
54,54,26-04-2020 18:17:02,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0876,635089,232475,20936,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
55,55,26-04-2020 18:17:02,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0233,14943,5470,493,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
56,56,26-04-2020 18:17:02,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0256,14943,5470,493,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
57,57,26-04-2020 18:17:02,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.032,18679,6838,616,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
58,58,26-04-2020 18:17:02,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0256,14943,5470,493,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
59,59,26-04-2020 18:17:02,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9367,1120745,410250,36945,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
60,60,26-04-2020 18:18:45,Batumi,54915c4374,Батуми н-бооом 10 штук,,3,нет,Батуми,10 гр,0.0125,8025,2950,265,,,,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
61,61,26-04-2020 18:18:45,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2811,164376,60170,5419,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
62,62,26-04-2020 18:18:45,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6452,373582,136750,12315,5000.0,,,,,,,,,True,,,METADON - 20 G.
63,63,26-04-2020 18:18:45,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0116,7472,2735,246,100.0,,,,,,,,,True,,,kur'er v Batumi
64,64,26-04-2020 18:18:45,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.028999999999999998,18679,6838,616,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
65,65,26-04-2020 18:18:45,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.028999999999999998,18679,6838,616,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
66,66,26-04-2020 18:18:45,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9338,1120745,410250,36945,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
67,67,26-04-2020 18:18:45,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0639,37358,13675,1232,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
68,68,26-04-2020 18:20:53,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0239,14121,5169,466,189.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
69,69,26-04-2020 18:20:53,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0567,33174,12143,1094,444.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,70,26-04-2020 18:20:53,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0425,24881,9108,820,333.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,71,26-04-2020 18:20:53,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0256,14943,5470,493,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
