,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,24-05-2020 00:03:54,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,7,нет,Тбилиси,0.25 гр,0.0106,7188,2705,240,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,24-05-2020 00:03:54,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.017,11429,4301,381,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,24-05-2020 00:03:54,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,3953,1488,132,55.0,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,24-05-2020 00:03:54,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,4,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29.0,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,24-05-2020 00:03:54,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.0053,3594,1353,120,50.0,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
5,5,24-05-2020 00:03:54,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0864,64692,24345,2159,900.0,,,,,,,,,,,Metadon 1gr
6,6,24-05-2020 00:03:54,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89.0,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
7,7,24-05-2020 00:03:54,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0496,33784,12714,1127,470.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
8,8,24-05-2020 00:03:54,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,1,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89.0,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
9,9,24-05-2020 00:03:54,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,8,нет,Тбилиси,5 гр,0.0147,9991,3760,333,139.0,True,,,True,,,,,,,5 gr georgian weed. Package on magnet
10,10,24-05-2020 00:03:54,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,5 гр,0.0126,8554,3219,285,119.0,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
11,11,24-05-2020 00:03:54,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0187,12579,4734,420,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
12,12,24-05-2020 00:03:54,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,2,нет,Тбилиси,5 гр,0.1214,82662,31108,2758,1150.0,,,,,,,,,,,Cocaine Pure VHQ 5g.
13,13,24-05-2020 00:03:54,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,True,1,нет,Тбилиси,10 гр,0.0168,12579,4734,420,175.0,,,,,,,,,,,10 - GRAMM BEASTWEED
14,14,24-05-2020 00:03:54,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0461,32346,12173,1079,450.0,,,,,,,,,,,Gashish Evro 10gr
15,15,24-05-2020 00:03:54,Tbilisi,21e6be39fb,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,2,нет,Тбилиси,15 гр,0.0158,10782,4058,360,150.0,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
16,16,24-05-2020 00:03:54,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0787,55851,21018,1864,777.0,,,,,,,,,,,Gashish Evro 20gr
17,17,24-05-2020 00:03:54,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.192,143761,54100,4797,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,18,24-05-2020 00:03:54,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13298,5004,444,185.0,,,,,,,,,,,GABAGAMA 150 shtuk
19,19,24-05-2020 00:03:54,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0104,7060,2651,236,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
20,20,24-05-2020 00:03:54,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0169,11501,4328,384,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
21,21,24-05-2020 00:03:54,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0346,25886,9719,864,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
22,22,24-05-2020 00:03:54,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0393,26524,9981,885,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,24-05-2020 00:03:54,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0617,41619,15662,1389,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,24-05-2020 00:03:54,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0422,28752,10820,959,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,24-05-2020 00:03:54,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0148,10063,3787,336,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
26,26,24-05-2020 00:03:54,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0581,39534,14878,1319,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,24-05-2020 00:03:54,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0248,16892,6357,564,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,24-05-2020 00:03:55,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0253,17251,6492,576,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,24-05-2020 00:03:55,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0243,16533,6222,552,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,30,24-05-2020 00:03:55,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0168,11429,4301,381,159.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
31,31,24-05-2020 00:03:55,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,17251,6492,576,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,32,24-05-2020 00:03:55,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0253,17251,6492,576,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,24-05-2020 00:03:55,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0243,16533,6222,552,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,34,24-05-2020 00:04:41,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0264,17970,6763,600,250.0,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
35,35,24-05-2020 00:04:41,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2536,190000,87429,6351,,,,,,,,,,,,reagent 25i nbome. 5gr
36,36,24-05-2020 00:04:41,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2878,215641,81150,7196,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,24-05-2020 00:04:41,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1022,68933,25941,2300,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,38,24-05-2020 00:04:41,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0203,13657,5140,456,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
39,39,24-05-2020 00:04:41,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0521,35150,13227,1173,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
40,40,24-05-2020 00:04:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0201,13585,5112,453,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
41,41,24-05-2020 00:04:41,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.095,64692,24345,2159,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,42,24-05-2020 00:04:41,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0422,28752,10820,959,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
43,43,24-05-2020 00:04:41,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0739,50316,18935,1679,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
44,44,24-05-2020 00:04:41,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0443,30190,11361,1007,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
45,45,24-05-2020 00:04:41,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0142,9704,3652,324,135.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
46,46,24-05-2020 00:04:41,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0844,57504,21640,1919,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,47,24-05-2020 00:04:41,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2348,159934,60186,5337,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
48,48,24-05-2020 00:04:41,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1662,112062,42171,3739,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
49,49,24-05-2020 00:04:41,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0393,26524,9981,885,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,24-05-2020 00:04:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0336,22642,8521,756,315.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
51,51,24-05-2020 00:04:41,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0558,38025,14309,1269,529.0,,,,,,,,,,,20 gr georgian weed. Package on magnet
52,52,24-05-2020 00:04:41,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5329999999999999,359402,135250,11993,5000.0,,,,,,,,,,,METADON - 20 G.
53,53,24-05-2020 00:04:41,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0638,43056,16203,1437,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
54,54,24-05-2020 00:04:41,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1371,93373,35138,3116,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
55,55,24-05-2020 00:04:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1161,79068,29755,2638,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
56,56,24-05-2020 00:04:41,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2637,179629,67598,5994,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
57,57,24-05-2020 00:04:41,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2533,172513,64920,5757,2400.0,,,,,,,,,,,100 gr marijuana buds
58,58,24-05-2020 00:04:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2111,143761,54100,4797,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
