,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,26-05-2020 08:09:47,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0109,7160,2705,240,100,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,26-05-2020 08:09:47,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,2,нет,Тбилиси,0.5 гр,0.0033,2148,812,72,30,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,26-05-2020 08:09:47,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,3,нет,Тбилиси,0.5 гр,0.0032,2076,784,70,29,True,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
3,26-05-2020 08:09:47,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0057,3723,1407,125,52,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
4,26-05-2020 08:09:47,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0891,64437,24345,2160,900,,,,,,,,,,,,,Metadon 1gr
5,26-05-2020 08:09:47,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,15,нет,Тбилиси,2 гр,0.0096,6300,2380,211,88,,True,,,,,,,,,,,2gr HYBRID buds
6,26-05-2020 08:09:47,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0077,5012,1894,168,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
7,26-05-2020 08:09:47,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0116,7518,2840,252,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
8,26-05-2020 08:09:47,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,5 гр,0.0151,9952,3760,334,139,,,True,,,,,,,,,,5 gr georgian weed. Package on magnet
9,26-05-2020 08:09:47,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),True,12,нет,Тбилиси,5 гр,0.013,8520,3219,286,119,,,True,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
10,26-05-2020 08:09:47,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0193,12529,4734,420,175,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,26-05-2020 08:09:47,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0217,14248,5383,478,199,,,,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
12,26-05-2020 08:09:47,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0475,32218,12173,1080,450,,,,,,,,,,,,,Gashish Evro 10gr
13,26-05-2020 08:09:47,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,1,11,Тбилиси,20 гр,0.0435,28567,10793,957,399,,,,True,,,,,,,,,20 gr georgian weed. Package on magnet
14,26-05-2020 08:09:47,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0812,55630,21018,1864,777,,,,,,,,,,,,,Gashish Evro 20gr
15,26-05-2020 08:09:47,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0079,5728,2164,192,80,,,,,,,,,,,,,GABAGAMA 50 SHTUK
16,26-05-2020 08:09:47,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1981,143192,54100,4799,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
