,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,30-03-2020 16:46:06,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,1,нет,Тбилиси,0.7 гр,0.0121,7385,2708,245,95.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
1,1,30-03-2020 16:46:06,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),True,11,нет,Тбилиси,1 гр,0.006,3343,1226,111,43.0,,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
2,2,30-03-2020 16:46:06,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0077,4664,1710,155,60.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,3,30-03-2020 16:46:06,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,1 гр,0.006999999999999999,3887,1425,129,50.0,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,30-03-2020 16:46:06,Tbilisi,e56bb6ca93,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,1,нет,Тбилиси,1 гр,0.0058,3187,1169,106,41.0,True,,,,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
5,5,30-03-2020 16:46:06,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,5,нет,Тбилиси,1 гр,0.0061,3343,1226,111,43.0,,True,,,,,,,,,,1 g.Super Skunk top class buds! Indica
6,6,30-03-2020 16:46:06,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,12,нет,Тбилиси,1 гр,0.0053,2954,1083,98,38.0,,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,7,30-03-2020 16:46:06,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,5,нет,Тбилиси,1 гр,0.0052,3187,1169,106,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
8,8,30-03-2020 16:46:06,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",True,9,нет,Тбилиси,1 гр,0.006,3343,1226,111,43.0,,,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
9,9,30-03-2020 16:46:06,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,9,нет,Тбилиси,1 гр,0.0211,11660,4275,386,150.0,True,,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
10,10,30-03-2020 16:46:06,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0251,13914,5102,461,179.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
11,11,30-03-2020 16:46:06,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1149,69959,25650,2318,900.0,,,,,,,,,,,,Metadon 1gr
12,12,30-03-2020 16:46:06,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,1,нет,Тбилиси,1 гр,0.0026,1555,570,52,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
13,13,30-03-2020 16:46:06,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,4,нет,Тбилиси,1 гр,0.0099,5441,1995,180,70.0,,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
14,14,30-03-2020 16:46:06,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,2,нет,Тбилиси,2 гр,0.0112,6219,2280,206,80.0,,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
15,15,30-03-2020 16:46:06,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,2 гр,0.0105,5830,2138,193,75.0,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,30-03-2020 16:46:06,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,2 гр,0.0097,5364,1967,178,69.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
