,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,24-03-2020 16:59:34,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,6,нет,Тбилиси,0.25 гр,0.0264,14981,5358,502,190,,,,,,,,,,,"Metadon VHQ 0,25"
1,24-03-2020 16:59:34,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,5,нет,Тбилиси,0.33 гр,0.006,3759,1346,125,,44,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
2,24-03-2020 16:59:34,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0555,31540,11280,1056,400,,,,,,,,,,,Metadon VHQ 0.5 24/7
3,24-03-2020 16:59:34,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,True,1,нет,Тбилиси,0.5 гр,0.0062,3844,1377,127,,45,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
4,24-03-2020 16:59:34,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0069,3942,1410,132,50,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
5,24-03-2020 16:59:34,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,23,нет,Тбилиси,1 гр,0.006,3391,1213,114,43,,,,,,,,,,,Amsterdam weed sativa 1gr
6,24-03-2020 16:59:34,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0249,14114,5048,472,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
7,24-03-2020 16:59:34,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1136,70964,25380,2376,900,,,,,,,,,,,Metadon 1gr
8,24-03-2020 16:59:34,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,2 гр,0.0125,7096,2538,238,90,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,24-03-2020 16:59:34,Tbilisi,8B31,GEOWEEDSHOP,2gr Indica dominant Buds,True,5,нет,Тбилиси,2 гр,0.0092,5204,1861,174,66,,,True,,,,,,,,2gr Indica dominant Buds
