,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-06-2020 21:50:23,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0149,10129,3922,348,129.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,11-06-2020 21:50:23,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,9,нет,Тбилиси,0.5 гр,0.0033,2212,856,76,,True,32.0,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,2,11-06-2020 21:50:23,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0136,8986,3478,308,,,130.0,True,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
3,3,11-06-2020 21:50:23,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,3,нет,Тбилиси,2 гр,0.0088,5875,2274,202,,,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
4,4,11-06-2020 21:50:23,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,,6,нет,Тбилиси,3 гр,0.0092,6152,2381,211,,True,89.0,,True,,,,,,3 gr Indica dominant Buds
5,5,11-06-2020 21:50:23,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,12,нет,Тбилиси,3 гр,0.009000000000000001,6014,2327,206,,True,87.0,,,,,,,,3 gr georgian weed. Package on magnet
6,6,11-06-2020 21:50:23,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0141,10368,4013,356,,True,150.0,,,,,,,,3g. marihuana shishki Critical
7,7,11-06-2020 21:50:23,Tbilisi,8528108b62,4g.марихуана шишки white widow,,1,нет,Тбилиси,4 гр,0.0184,13479,5216,463,,True,195.0,,,,,,,,4g.marihuana shishki white widow
8,8,11-06-2020 21:50:23,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,5,нет,Тбилиси,5 гр,0.0144,9608,3718,330,,True,139.0,,,,,,,,5 gr georgian weed. Package on magnet
9,9,11-06-2020 21:50:23,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0226,16589,6420,569,,True,240.0,,,,,,,,5g. marihuana shishki Critical
10,10,11-06-2020 21:50:23,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.0134,8917,3451,306,,True,129.0,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
11,11,11-06-2020 21:50:23,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,8,нет,Тбилиси,5 гр,0.0183,12096,4681,415,,True,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
12,12,11-06-2020 21:50:23,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,4,нет,Тбилиси,10 гр,0.0268,17903,6928,614,,True,259.0,,,,,,,,10 gr georgian weed. Package on magnet
13,13,11-06-2020 21:50:23,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,10 гр,0.0247,16520,6393,567,,True,239.0,,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
14,14,11-06-2020 21:50:23,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0471,34561,13375,1186,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,11-06-2020 21:50:23,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0027,2005,776,69,,True,29.0,,,,,,,,GABAGAMA 20 SHTUK
16,16,11-06-2020 21:50:23,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.209,138244,53500,4744,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,17,11-06-2020 21:50:23,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,10,Тбилиси,2 гр,0.0386,25506,9871,875,,True,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
18,18,11-06-2020 21:50:23,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0606,40022,15488,1373,,True,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,11-06-2020 21:50:23,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0414,27649,10700,949,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
20,20,11-06-2020 21:50:23,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0145,9677,3745,332,,,140.0,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
21,21,11-06-2020 21:50:23,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.057,38017,14713,1305,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,22,11-06-2020 21:50:23,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,7,Тбилиси,5 гр,0.0243,16244,6286,557,,True,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
23,23,11-06-2020 21:50:23,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0249,16589,6420,569,,True,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
24,24,11-06-2020 21:50:23,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,7,Тбилиси,5 гр,0.0238,15898,6153,546,,True,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
25,25,11-06-2020 21:50:23,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,16589,6420,569,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
26,26,11-06-2020 21:50:23,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0249,16589,6420,569,,True,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,27,11-06-2020 21:50:23,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0238,15898,6153,546,,True,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,28,11-06-2020 21:50:23,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0206,15138,5858,519,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,29,11-06-2020 21:50:23,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0261,17280,6688,593,,True,250.0,,,,,,,,MARIXYANA - INDICA - 5 G.
30,30,11-06-2020 21:50:23,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16244,6286,557,,True,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,31,11-06-2020 21:50:23,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2598,190000,87429,6561,,True,,,,,,,,,reagent 25i nbome. 5gr
32,32,11-06-2020 21:50:23,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2824,207366,80250,7116,,,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
33,33,11-06-2020 21:51:01,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2835,207366,80250,7116,,,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
34,34,11-06-2020 21:51:01,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1007,66288,25653,2275,,True,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
35,35,11-06-2020 21:51:01,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0199,13133,5083,451,,True,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,11-06-2020 21:51:01,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0513,33801,13081,1160,,True,489.0,,,,,,,,💘✨5g. MDMA ✨💘
37,37,11-06-2020 21:51:01,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0936,62210,24075,2135,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,11-06-2020 21:51:01,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0416,27649,10700,949,,True,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,39,11-06-2020 21:51:01,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0728,48385,18725,1660,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,11-06-2020 21:51:01,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0437,29031,11235,996,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,11-06-2020 21:51:01,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0832,55298,21400,1898,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
