,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,18-07-2020 12:56:56,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,True,3,нет,Тбилиси,0.5 гр,0.0037,2510,968,84,35.0,,,,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
1,1,18-07-2020 12:56:56,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,2,18-07-2020 12:56:56,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,8,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,3,18-07-2020 12:56:56,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
4,4,18-07-2020 12:56:56,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
5,5,18-07-2020 12:56:56,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,8,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,18-07-2020 12:56:56,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
7,7,18-07-2020 12:56:56,Tbilisi,21de5577be,1.0 gr. Magic Kush (INDICA),True,7,нет,Тбилиси,1 гр,0.0055,3729,1438,125,52.0,,,,,,,,,,,,1.0 gr. Magic Kush (INDICA)
8,8,18-07-2020 12:56:56,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,3,нет,Тбилиси,1 гр,0.0053,3586,1383,120,50.0,True,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
9,9,18-07-2020 12:56:56,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,1,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
10,10,18-07-2020 12:56:56,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,1,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
11,11,18-07-2020 12:56:56,Tbilisi,ebadfc162f,уро / Hammer 1G 100% Center Buds! центровки !! LIMITED,True,2,нет,Тбилиси,1 гр,0.0074,5020,1936,168,70.0,,,,,,,,,,,,uro / Hammer 1G 100% Center Buds! tsentrovki !! LIMITED
12,12,18-07-2020 12:56:56,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,3,нет,Тбилиси,1 гр,0.0073,4901,1887,164,,True,,60.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
