,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-04-2020 16:03:34,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,1,нет,Тбилиси,0.5 гр,0.0214,13637,5087,458,186.0,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
1,1,14-04-2020 16:03:34,Tbilisi,54915c4374,MDMA 0.5 грам.,True,2,нет,Тбилиси,0.5 гр,0.0101,5499,2051,185,75.0,,,,,,,,,,,,MDMA 0.5 gram.
2,2,14-04-2020 16:03:34,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,15,нет,Тбилиси,1 гр,0.0052,2859,1067,96,39.0,True,True,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
3,3,14-04-2020 16:03:34,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,6,нет,Тбилиси,1 гр,0.0062,3372,1258,113,46.0,,,True,,,,,,,,,1 g.Super Skunk top class buds! Indica
4,4,14-04-2020 16:03:34,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,,11,нет,Тбилиси,1 гр,0.0027,1466,547,49,20.0,True,,,,,,,,,,,1 gr listja plus galovki marihuana
5,5,14-04-2020 16:03:34,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,17,нет,Тбилиси,1 гр,0.0297,16056,5990,539,219.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,6,14-04-2020 16:03:34,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0074,4032,1504,135,55.0,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
7,7,14-04-2020 16:03:34,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,True,1,нет,Тбилиси,1 гр,0.0148,8065,3009,271,110.0,,,,,,,,,,,,MDMA Champagne - DutchMasters 1g
8,8,14-04-2020 16:03:34,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,19,нет,Тбилиси,1 гр,0.0026,1442,538,49,,,,True,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
9,9,14-04-2020 16:03:34,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1097,65984,24615,2215,900.0,,,,,,,,,,,,Metadon 1gr
10,10,14-04-2020 16:03:34,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0024,1466,547,49,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
11,11,14-04-2020 16:03:34,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0256,13857,5169,465,189.0,,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
