,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Didube,Nadzaladevi,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,11-07-2020 13:25:20,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
11,11,11-07-2020 13:25:20,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
12,12,11-07-2020 13:25:20,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,12,нет,Тбилиси,1 гр,0.006,4060,1553,139,,57.0,,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,13,11-07-2020 13:25:20,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,5,нет,Тбилиси,1 гр,0.0052,3490,1335,119,,49.0,,,,,,,,,,,,1gr HYBRID o.g
14,14,11-07-2020 13:25:20,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",True,1,нет,Тбилиси,1 гр,0.0053,3918,1499,134,,55.0,,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
15,15,11-07-2020 13:25:20,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,,True,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
16,16,11-07-2020 13:25:20,Tbilisi,fccfd69694,Бошки OG Kush 1g.,True,1,нет,Тбилиси,1 гр,0.0043,2849,1090,97,,40.0,,,,,,,,,,,,Boshki OG Kush 1g.
17,17,11-07-2020 13:25:20,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,4,нет,Тбилиси,1 гр,0.0072,4816,1842,165,60.0,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
18,18,11-07-2020 13:25:20,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0105,7052,2698,241,,99.0,,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,19,11-07-2020 13:25:20,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0115,7764,2970,265,,109.0,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
20,20,11-07-2020 13:25:20,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0127,8548,3270,292,,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
21,21,11-07-2020 13:25:20,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0127,8548,3270,292,,120.0,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
22,22,11-07-2020 13:25:20,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0127,8548,3270,292,,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
23,23,11-07-2020 13:25:20,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0127,8548,3270,292,,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
24,24,11-07-2020 13:25:20,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,4,нет,Тбилиси,2 гр,0.0093,6268,2398,214,,88.0,,,,,,,,,,,,2gr HYBRID buds
25,25,11-07-2020 13:25:20,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0106,7835,2998,267,,110.0,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
26,26,11-07-2020 13:25:20,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0144,10684,4088,365,,150.0,,,,,,,,,,,,3g. marihuana shishki Critical
27,27,11-07-2020 13:25:20,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,13,нет,Тбилиси,3 гр,0.0059,3918,1499,134,,55.0,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
28,28,11-07-2020 13:25:20,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0231,17095,6540,583,,240.0,,,,,,,,,,,,5g. marihuana shishki Critical
29,29,11-07-2020 13:25:20,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0231,17095,6540,583,,240.0,,,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
30,30,11-07-2020 13:25:20,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0243,16383,6268,559,,230.0,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
31,31,11-07-2020 13:25:20,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0053,3918,1499,134,,55.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,11-07-2020 13:25:20,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0461,32053,12263,1094,,450.0,,,,,,,,,,,,Gashish Evro 10gr
33,33,11-07-2020 13:25:20,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0173,12821,4905,437,,180.0,,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
34,34,11-07-2020 13:25:59,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4630,1771,158,,65.0,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
35,35,11-07-2020 13:25:59,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2133,142460,54500,4860,,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,11-07-2020 13:25:59,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,5,Тбилиси,1 гр,0.0373,24883,9517,850,310.0,,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
37,37,11-07-2020 13:25:59,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0144,10684,4088,365,,150.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
38,38,11-07-2020 13:25:59,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,3,Тбилиси,4 гр,0.0423,28492,10900,972,,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,39,11-07-2020 13:25:59,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0264,17807,6813,608,,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
40,40,11-07-2020 13:25:59,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0581,39176,14988,1337,,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,41,11-07-2020 13:25:59,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0285,19232,7358,656,,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
42,42,11-07-2020 13:25:59,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0296,19944,7630,680,,280.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
43,43,11-07-2020 13:25:59,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0291,19588,7494,668,,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
44,44,11-07-2020 13:25:59,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,17095,6540,583,,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
45,45,11-07-2020 13:25:59,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0296,19944,7630,680,,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,46,11-07-2020 13:25:59,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0285,19232,7358,656,,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,11-07-2020 13:25:59,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,15599,5968,532,,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,11-07-2020 13:25:59,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0285,19232,7358,656,,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,49,11-07-2020 13:25:59,Tbilisi,7f1273da70,марихуана пудра высокое качество 5грам,True,нет,10,Тбилиси,5 гр,0.0077,5698,2180,194,,80.0,,,,,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
50,50,11-07-2020 13:25:59,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2563,190000,87429,6482,,,,,,,,,,,,,,reagent 25i nbome. 5gr
51,51,11-07-2020 13:25:59,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2882,213689,81750,7290,,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,52,11-07-2020 13:25:59,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.024,16054,6140,549,200.0,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
53,53,11-07-2020 13:25:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0951,64107,24525,2187,,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,11-07-2020 13:25:59,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0581,39176,14988,1337,,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,11-07-2020 13:25:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.07400000000000001,49861,19075,1701,,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,11-07-2020 13:25:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0444,29917,11445,1021,,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,11-07-2020 13:25:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0846,56984,21800,1944,,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,11-07-2020 13:25:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2352,158486,60631,5407,,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,11-07-2020 13:25:59,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0529,35318,13508,1207,440.0,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
60,60,11-07-2020 13:25:59,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0469,31305,11973,1070,390.0,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
61,61,11-07-2020 13:25:59,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,4,Тбилиси,11 гр,0.048,32027,12249,1095,399.0,,,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
62,62,11-07-2020 13:25:59,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0625,46299,17713,1580,,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
