,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-03-2020 01:28:15,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,нет,Тбилиси,0.15 гр,0.0254,10978,4034,351,150.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,1,15-03-2020 01:28:15,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0168,7319,2689,234,100.0,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,15-03-2020 01:28:15,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.028999999999999998,13906,5109,445,190.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,15-03-2020 01:28:15,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,8,нет,Тбилиси,0.25 гр,0.0268,11710,4302,374,160.0,,,,,,,,,,,,"Metadon VHQ 0,25"
4,4,15-03-2020 01:28:15,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0508,21956,8067,702,300.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,5,15-03-2020 01:28:15,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,15,нет,Тбилиси,0.5 гр,0.0092,4025,1479,129,55.0,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
6,6,15-03-2020 01:28:15,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,27,нет,Тбилиси,0.5 гр,0.0168,7319,2689,234,100.0,True,,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
7,7,15-03-2020 01:28:15,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0042,1830,672,59,25.0,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
8,8,15-03-2020 01:28:15,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0076,3659,1345,117,50.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,9,15-03-2020 01:28:15,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0084,3659,1345,117,50.0,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,10,15-03-2020 01:28:15,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,1,нет,Тбилиси,1 гр,0.0073,3147,1156,101,43.0,,True,,,,,,,,,,1 g.Super Skunk top class buds! Indica
