,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Didube,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
23,23,10-07-2020 20:18:08,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0231,17095,6528,584,,,240.0,,,,,,,,,5g. marihuana shishki Critical
24,24,10-07-2020 20:18:08,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,4,нет,Тбилиси,5 гр,0.0074,4915,1877,168,,,69.0,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
25,25,10-07-2020 20:18:08,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,5,нет,Тбилиси,5 гр,0.0143,10613,4053,363,,,149.0,,,,,,,,,5g. GEO Marihuana boshki
26,26,10-07-2020 20:18:08,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0231,17095,6528,584,,,240.0,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
27,27,10-07-2020 20:18:08,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0053,3918,1496,134,,,55.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,28,10-07-2020 20:18:08,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0461,32053,12240,1095,,,450.0,,,,,,,,,Gashish Evro 10gr
29,29,10-07-2020 20:18:08,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0173,12821,4896,438,,,180.0,,,,,,,,,11+ GRAMM BEASTWEED NEW
30,30,10-07-2020 20:18:08,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0481,35615,13600,1217,,,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
31,31,10-07-2020 20:18:08,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4630,1768,158,,,65.0,,,,,,,,,Silver haze leaves list'ja 15gr sale
32,32,10-07-2020 20:18:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2134,142460,54400,4866,,,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,33,10-07-2020 20:18:08,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,5,Тбилиси,1 гр,0.0373,24883,9517,854,310.0,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
34,34,10-07-2020 20:19:02,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0144,10684,4080,365,,,150.0,,,,,,,,,Northern Lights Regular [budsonly] 3gram
35,35,10-07-2020 20:19:02,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,3,Тбилиси,4 гр,0.0423,28492,10880,973,,,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,36,10-07-2020 20:19:02,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0264,17807,6800,608,,,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,37,10-07-2020 20:19:02,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0581,39176,14960,1338,,,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,38,10-07-2020 20:19:02,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0285,19232,7344,657,,,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,39,10-07-2020 20:19:02,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0296,19944,7616,681,,,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
40,40,10-07-2020 20:19:02,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0291,19588,7480,669,,,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
41,41,10-07-2020 20:19:02,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,17095,6528,584,,,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,10-07-2020 20:19:02,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0296,19944,7616,681,,,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,10-07-2020 20:19:02,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0285,19232,7344,657,,,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,10-07-2020 20:19:02,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,15599,5957,533,,,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,10-07-2020 20:19:02,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0285,19232,7344,657,,,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,10-07-2020 20:19:02,Tbilisi,7f1273da70,марихуана пудра высокое качество 5грам,True,нет,10,Тбилиси,5 гр,0.0077,5698,2176,195,,,80.0,,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
47,47,10-07-2020 20:19:02,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2563,190000,87429,6521,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,10-07-2020 20:19:02,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2882,213689,81600,7300,,,3000.0,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,10-07-2020 20:19:02,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.024,16054,6140,551,200.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
50,50,10-07-2020 20:19:02,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0951,64107,24480,2190,,,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,10-07-2020 20:19:02,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0581,39176,14960,1338,,,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,52,10-07-2020 20:19:02,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.07400000000000001,49861,19040,1703,,,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,10-07-2020 20:19:02,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0444,29917,11424,1022,,,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,10-07-2020 20:19:02,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0846,56984,21760,1947,,,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,10-07-2020 20:19:02,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2352,158486,60520,5414,,,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,10-07-2020 20:19:02,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0529,35318,13508,1212,440.0,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
57,57,10-07-2020 20:19:02,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0469,31305,11973,1074,390.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
58,58,10-07-2020 20:19:02,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,4,Тбилиси,11 гр,0.048,32027,12249,1099,399.0,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
59,59,10-07-2020 20:19:02,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0625,46299,17680,1582,,,650.0,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
60,60,10-07-2020 20:19:02,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2537,170952,65280,5840,,,2400.0,,,,,,,,,100 gr marijuana buds
61,61,10-07-2020 20:19:02,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2642,178075,68000,6083,,,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,62,10-07-2020 20:19:02,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6236,420256,160480,14356,,,5900.0,,,,,,,,,180 gr marihuana persoalno
63,63,10-07-2020 20:19:02,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8984,605453,231200,20682,,,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,10-07-2020 20:19:02,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14246,5440,487,,,200.0,,,,,,,,,KURYER..500RUB.+BONUS
