,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,22-03-2020 23:04:32,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0133,7024,2529,230,90.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,22-03-2020 23:04:32,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,6,нет,Тбилиси,0.25 гр,0.0282,14828,5339,486,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
2,2,22-03-2020 23:04:32,Tbilisi,8a650ecf5f,"A-PVP 0,5 g VHQ",True,1,нет,Тбилиси,0.5 гр,0.0171,8975,3232,294,115.0,,,,,,,,,,,"A-PVP 0,5 g VHQ"
3,3,22-03-2020 23:04:32,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0141,7726,2782,253,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,22-03-2020 23:04:32,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,2,нет,Тбилиси,0.5 гр,0.0096,5073,1827,166,65.0,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,5,22-03-2020 23:04:32,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0171,9365,3372,307,120.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,22-03-2020 23:04:32,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,True,1,нет,Тбилиси,0.5 гр,0.0065,3787,1366,124,,45.0,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
7,7,22-03-2020 23:04:32,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0054,3122,1124,102,40.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,22-03-2020 23:04:32,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0067,3512,1265,115,45.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,22-03-2020 23:04:32,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,8,нет,Тбилиси,1 гр,0.0068,3590,1293,118,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
10,10,22-03-2020 23:04:32,Tbilisi,edfbad0151,Blue Cheese Auto 1G pressed buds(Hydro),True,3,нет,Тбилиси,1 гр,0.0065,3512,1265,115,45.0,,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
11,11,22-03-2020 23:04:32,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0269,14750,5311,484,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,22-03-2020 23:04:32,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,True,3,нет,Тбилиси,1 гр,0.0068,3590,1293,118,46.0,,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
13,13,22-03-2020 23:04:32,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0292,15999,5761,525,205.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
14,14,22-03-2020 23:04:32,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,4,нет,Тбилиси,1 гр,0.0031,1795,646,59,23.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
15,15,22-03-2020 23:04:32,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0265,13970,5030,458,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
16,16,22-03-2020 23:04:32,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1213,70240,25290,2303,900.0,,,,,,,,,,,Metadon 1gr
17,17,22-03-2020 23:04:32,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,2 гр,0.0142,8195,2951,269,105.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,18,22-03-2020 23:04:32,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,2 гр,0.0133,7024,2529,230,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
19,19,22-03-2020 23:04:32,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,2 гр,0.0117,6166,2220,202,79.0,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,20,22-03-2020 23:04:32,Tbilisi,64284550d9,2G ---> ONLY BUDS,,1,нет,Тбилиси,2 гр,0.009000000000000001,4761,1714,156,61.0,,,True,,,,,,,,2G ---> ONLY BUDS
21,21,22-03-2020 23:04:32,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,4,нет,Тбилиси,2 гр,0.0118,6166,2220,202,79.0,,,,True,,,,,,,2g super Skunk top class buds. Indica
22,22,22-03-2020 23:04:32,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0485,28096,10116,921,360.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
23,23,22-03-2020 23:04:32,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0157,8195,2951,269,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
24,24,22-03-2020 23:04:32,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,10,нет,Тбилиси,3 гр,0.0067,3902,1405,128,50.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
25,25,22-03-2020 23:04:32,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0148,7726,2782,253,99.0,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
26,26,22-03-2020 23:04:32,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0431,24974,8992,819,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,22-03-2020 23:04:32,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.044000000000000004,23413,8430,768,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,28,22-03-2020 23:04:32,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0445,24405,8802,801,,290.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
29,29,22-03-2020 23:04:32,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,2,нет,Тбилиси,5 гр,0.0569,31218,11240,1024,400.0,,,,,,,,,,,5g MDMA (IMPORTED)
30,30,22-03-2020 23:04:32,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0262,13658,4918,448,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
31,31,22-03-2020 23:04:32,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,1,нет,Тбилиси,5 гр,0.1167,61421,22115,2014,787.0,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
32,32,22-03-2020 23:04:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0088,5073,1827,166,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,22-03-2020 23:04:32,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,5.5 гр,0.0482,25364,9133,832,325.0,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
34,34,22-03-2020 23:05:20,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0134,7726,2782,253,99.0,,,,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,22-03-2020 23:05:20,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0572,31218,11240,1024,400.0,,,,,,,,,,,gashish evro 10g
36,36,22-03-2020 23:05:20,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0946,49558,17844,1625,635.0,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
37,37,22-03-2020 23:05:20,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.271,156089,56200,5118,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,38,22-03-2020 23:05:20,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,14,5,Тбилиси,0.27 гр,0.0376,19511,7025,640,250.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
39,39,22-03-2020 23:05:20,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,нет,5,Тбилиси,0.35 гр,0.0452,23413,8430,768,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
40,40,22-03-2020 23:05:20,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,2,3,Тбилиси,1.1 гр,0.1129,58533,21075,1919,750.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
41,41,22-03-2020 23:05:20,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1043,54631,19670,1791,700.0,,,,,,,,,,,Methadone HQ in city 1.4g
42,42,22-03-2020 23:05:20,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0301,15609,5620,512,200.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
43,43,22-03-2020 23:05:20,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0888,46046,16579,1510,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,22-03-2020 23:05:20,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0596,31218,11240,1024,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,22-03-2020 23:05:20,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.08199999999999999,42924,15455,1408,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
