,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,30-04-2020 00:42:11,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,13,нет,Тбилиси,1 гр,0.0061,4053,1496,135,55,,,,,,,,,,1 G Hybrid Marijuana Buds
1,30-04-2020 00:42:11,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,6,нет,Тбилиси,1 гр,0.0045,2948,1088,99,40,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
2,30-04-2020 00:42:11,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,4,нет,Тбилиси,1 гр,0.0042,3021,1115,101,41,,,,,,,,,,Hybrid Ana-sha 1G.
3,30-04-2020 00:42:11,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0914,66320,24480,2217,900,,,,,,,,,,Metadon 1gr
4,30-04-2020 00:42:11,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.027,17612,6501,589,239,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,30-04-2020 00:42:11,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0112,7369,2720,246,100,,,,,,,,,,2 G Hybrid Marijuana Buds
6,30-04-2020 00:42:11,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0079,5158,1904,172,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
7,30-04-2020 00:42:11,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds HQ ❤,,1,нет,Тбилиси,2 гр,0.0095,6264,2312,209,85,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds HQ ❤
8,30-04-2020 00:42:11,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,6,нет,Тбилиси,3 гр,0.0145,9580,3536,320,130,,,,,,,,,,3 G Hybrid Marijuana Big Buds
9,30-04-2020 00:42:11,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0119,7737,2856,259,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
10,30-04-2020 00:42:11,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,11,нет,Тбилиси,3 гр,0.0112,7369,2720,246,100,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
11,30-04-2020 00:42:11,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0134,8769,3237,293,119,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
12,30-04-2020 00:42:11,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0332,22107,8160,739,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,30-04-2020 00:42:11,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,4,нет,Тбилиси,5 гр,0.0066,4348,1605,145,59,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
14,30-04-2020 00:42:11,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0198,12896,4760,431,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
15,30-04-2020 00:42:11,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 5g TOP VHQ,True,6,нет,Тбилиси,5 гр,0.0179,11790,4352,394,160,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
16,30-04-2020 00:42:11,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,6,нет,Тбилиси,10 гр,0.0234,15401,5685,515,209,,True,,,,,,,,10 gr marijuana buds. -indica-
17,30-04-2020 00:42:11,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0335,22107,8160,739,300,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
18,30-04-2020 00:42:11,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0429,29476,10880,985,400,,,,,,,,,,gashish evro 10g
19,30-04-2020 00:42:11,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,5,нет,Тбилиси,20 гр,0.0453,29844,11016,998,405,True,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
20,30-04-2020 00:42:11,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0833,57257,21134,1914,777,,,,,,,,,,Gashish Evro 20gr
21,30-04-2020 00:42:11,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2032,147379,54400,4926,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,30-04-2020 00:42:11,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0151,9948,3672,333,135,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
