,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,11-07-2020 09:05:09,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25,True,2,нет,Тбилиси,0.25 гр,0.0119,8027,3070,274,100,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
1,11-07-2020 09:05:09,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0107,7224,2763,247,90,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,11-07-2020 09:05:09,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,2,нет,Тбилиси,0.5 гр,0.0035,2351,899,80,,33,,,,,,,,,0.5 gr HYBRID buds
3,11-07-2020 09:05:09,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0114,7693,2943,262,,108,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
4,11-07-2020 09:05:09,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,2,нет,Тбилиси,0.5 гр,0.0028,1923,736,66,,27,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,11-07-2020 09:05:09,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,9,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
6,11-07-2020 09:05:09,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,11-07-2020 09:05:09,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,11-07-2020 09:05:09,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,11-07-2020 09:05:09,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
10,11-07-2020 09:05:09,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,1 гр,0.006,4060,1553,139,,57,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
11,11-07-2020 09:05:09,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,6,нет,Тбилиси,1 гр,0.0052,3490,1335,119,,49,,,,,,,,,1gr HYBRID o.g
